state,total_medicaid_enrollees,total_viii_group_enrollees,total_viii_group_newly_eligible_enrollees,total_viii_group_not_newly_eligible_enrollees,updated_year,updated_month,enrollment_year,enrollment_month,notes
"Amer. Samoa",37829,,,,2021,1,2019,9,
Guam,35385,4168,,4168,2021,1,2019,8,
Totals,74488451,15037252,11749529,3287723,2021,1,2019,7,
Michigan,2373597,665811,609473,56338,2021,1,2019,7,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"South Carolina",1292804,,,,2021,1,2019,8,
Alabama,1046192,,,,2021,1,2019,9,
Nevada,588123,210184,210184,0,2021,1,2019,8,
Alaska,212689,52827,52825,2,2021,1,2019,7,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
California,12476326,3709976,3693220,16756,2021,1,2019,9,
Colorado,1231471,375957,367859,8098,2021,1,2019,7,
Florida,3766588,,,,2021,1,2019,9,
Totals,75625105,15455475,12181181,3274294,2021,1,2019,9,
Montana,253496,95867,95867,0,2021,1,2019,7,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Oklahoma,646471,,,,2021,1,2019,7,
"Puerto Rico",1159060,403986,,403986,2021,1,2019,9,
Michigan,2378653,666110,613099,53011,2021,1,2019,9,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"North Dakota",88139,19474,18558,916,2021,1,2019,9,
Minnesota,1040957,183685,182882,803,2021,1,2019,9,
Washington,2569226,547912,534210,13702,2021,1,2019,9,
Idaho,287072,0,0,0,2021,1,2019,9,"Idaho expanded its Medicaid program by adopting VIII Group on January 1, 2020."
"West Virginia",521981,161855,161855,0,2021,1,2019,8,
Georgia,1892562,,,,2021,1,2019,7,
"Rhode Island",299031,66694,66694,0,2021,1,2019,7,
Louisiana,1618375,470809,470809,0,2021,1,2019,9,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Tennessee,1581533,,,,2021,1,2019,9,
"North Carolina",2174429,,,,2021,1,2019,8,
Ohio,2836894,627909,627606,303,2021,1,2019,7,
Alabama,1043767,,,,2021,1,2019,8,
Maine,277568,38458,28665,9793,2021,1,2019,8,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
"N. Mariana Islands",16484,,,,2021,1,2019,9,
"Virgin Islands",29472,13684,,13684,2021,1,2019,7,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Vermont,166496,54410,0,54410,2021,1,2019,8,
Connecticut,949434,266955,242723,24232,2021,1,2019,7,
Missouri,838406,,,,2021,1,2019,8,
"New Jersey",1618646,533146,533146,0,2021,1,2019,7,
Arkansas,830083,253168,252201,967,2021,1,2019,8,
Kansas,358081,,,,2021,1,2019,7,
"New Hampshire",180680,51773,51491,282,2021,1,2019,8,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
Kentucky,1288398,451066,451066,0,2021,1,2019,7,
"Amer. Samoa",37829,,,,2021,1,2019,7,
Alaska,213560,53172,53169,3,2021,1,2019,9,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Iowa,604398,173062,157854,15208,2021,1,2019,8,
Colorado,1229180,379745,372024,7721,2021,1,2019,9,
Arizona,1888238,430695,107682,323013,2021,1,2019,8,
Arizona,1878446,426398,106815,319583,2021,1,2019,7,
Montana,252012,94674,94674,0,2021,1,2019,8,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"South Dakota",103760,,,,2021,1,2019,8,
Montana,250769,93925,93925,0,2021,1,2019,9,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Ohio,2815129,610731,610427,304,2021,1,2019,9,
Tennessee,1599108,,,,2021,1,2019,7,
Hawaii,310623,110223,19872,90351,2021,1,2019,8,
Maine,279740,40911,30343,10568,2021,1,2019,9,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Massachusetts,1731120,342411,0,342411,2021,1,2019,7,
Virginia,1255630,293565,293565,0,2021,1,2019,7,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
"New Jersey",1608263,529032,529032,0,2021,1,2019,9,
"New York",6110966,1887066,306927,1580139,2021,1,2019,8,
Delaware,213738,62546,9515,53031,2021,1,2019,8,
Oregon,962773,465376,382212,83164,2021,1,2019,8,
"Puerto Rico",1167065,408694,,408694,2021,1,2019,7,
"Dist. Of Col.",260191,107317,66030,41287,2021,1,2019,9,
"West Virginia",520402,161115,161115,0,2021,1,2019,9,
Wyoming,54150,,,,2021,1,2019,7,
Missouri,839308,,,,2021,1,2019,7,
Washington,1727726,549929,535847,14082,2021,1,2019,8,
Florida,3814296,,,,2021,1,2019,7,
Louisiana,1618143,470125,470125,0,2021,1,2019,8,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Oklahoma,649492,,,,2021,1,2019,8,
Hawaii,310962,110717,19881,90836,2021,1,2019,9,
Illinois,2680627,685985,577871,108114,2021,1,2019,7,
Pennsylvania,2832785,762480,724771,37709,2021,1,2019,9,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Louisiana,1610710,467469,467469,0,2021,1,2019,7,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Indiana,1327863,309264,309264,0,2021,1,2019,8,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Idaho,290902,0,0,0,2021,1,2019,7,"Idaho expanded its Medicaid program by adopting VIII Group on January 1, 2020."
