state,total_medicaid_enrollees,total_viii_group_enrollees,total_viii_group_newly_eligible_enrollees,total_viii_group_not_newly_eligible_enrollees,updated_year,updated_month,enrollment_year,enrollment_month,notes
"Amer. Samoa",35002,,,,2021,1,2019,12,
Totals,74254894,15398703,12152452,3246251,2021,1,2019,12,
Guam,34768,4097,,4097,2021,1,2019,11,
Michigan,2381000,668413,615874,52539,2021,1,2019,10,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"South Carolina",1284595,,,,2021,1,2019,11,
Alabama,1048624,,,,2021,1,2019,12,
Nevada,582242,209002,209002,0,2021,1,2019,11,
Totals,75011359,15506627,12225311,3281316,2021,1,2019,10,
Alaska,213560,53479,53477,2,2021,1,2019,10,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
California,12227356,3629320,3609243,20077,2021,1,2019,12,
Colorado,1221210,379442,371837,7605,2021,1,2019,10,
Florida,3739717,,,,2021,1,2019,12,
Montana,249961,93556,93556,0,2021,1,2019,10,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Oklahoma,644485,,,,2021,1,2019,10,
"Puerto Rico",1160750,400997,,400997,2021,1,2019,12,
Michigan,2391528,678910,628152,50758,2021,1,2019,12,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"North Dakota",88055,19747,18808,939,2021,1,2019,12,
Minnesota,1033487,183358,182798,560,2021,1,2019,12,
Washington,1731143,557890,543964,13926,2021,1,2019,12,
Idaho,291968,0,0,0,2021,1,2019,12,"Idaho expanded its Medicaid program by adopting VIII Group on January 1, 2020."
"West Virginia",519049,161416,161416,0,2021,1,2019,11,
Georgia,2041420,,,,2021,1,2019,10,
"Rhode Island",295882,66243,66243,0,2021,1,2019,10,
Louisiana,1581072,468539,468539,0,2021,1,2019,12,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Tennessee,1568950,,,,2021,1,2019,12,
"North Carolina",2164822,,,,2021,1,2019,11,
Ohio,2807044,601487,601198,289,2021,1,2019,10,
Alabama,1048826,,,,2021,1,2019,11,
Maine,282752,46609,33899,12710,2021,1,2019,11,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
"N. Mariana Islands",16485,,,,2021,1,2019,12,
