state,total_medicaid_enrollees,total_viii_group_enrollees,total_viii_group_newly_eligible_enrollees,total_viii_group_not_newly_eligible_enrollees,updated_year,updated_month,enrollment_year,enrollment_month,notes
"N. Mariana Islands",16476,,,,2021,1,2020,2,
Nevada,581038,208806,208806,0,2021,1,2020,2,
Guam,34190,3947,,3947,2021,1,2020,2,
Michigan,2405918,685167,634754,50413,2021,1,2020,1,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"South Carolina",1264182,,,,2021,1,2020,2,
Alabama,1054155,,,,2021,1,2020,3,
Totals,74732556,15622036,12363215,3258821,2021,1,2020,1,
Alaska,215070,54991,54988,3,2021,1,2020,1,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
California,12033113,3552016,3528197,23819,2021,1,2020,3,
Colorado,1203153,375125,367794,7331,2021,1,2020,1,
Florida,3722742,,,,2021,1,2020,3,
Totals,74275953,15545838,12279464,3266374,2021,1,2020,3,
Montana,244432,91133,91133,0,2021,1,2020,1,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Oklahoma,637139,,,,2021,1,2020,1,
"Puerto Rico",1145450,400052,,400052,2021,1,2020,3,
Michigan,2421538,691982,646014,45968,2021,1,2020,3,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"North Dakota",89102,19814,18846,968,2021,1,2020,3,
Minnesota,1044506,185813,185056,757,2021,1,2020,3,
Washington,1727581,560016,545629,14387,2021,1,2020,3,
Idaho,348389,64662,64662,0,2021,1,2020,3,"Idaho expanded its Medicaid program by adopting VIII Group on January 1, 2020."
"West Virginia",519303,162324,162324,0,2021,1,2020,2,
Georgia,2048712,,,,2021,1,2020,1,
"Rhode Island",290100,64419,64419,0,2021,1,2020,1,
Louisiana,1616933,484532,484532,0,2021,1,2020,3,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Tennessee,1575073,,,,2021,1,2020,3,
"North Carolina",2153000,,,,2021,1,2020,2,
Ohio,2769655,584940,584646,294,2021,1,2020,1,
Alabama,1053681,,,,2021,1,2020,2,
Maine,284621,49504,37481,12023,2021,1,2020,2,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
