"Gender","Age.Group","Race","amipy","se"
"Men","Under 18","NH Black",0,0
"Women","Under 18","NH Black",0,0
"Men","19-34","NH Black",0.311812239867619,0.0399092815782475
"Women","19-34","NH Black",0.300289655709072,0.0290245176399489
"Men","35-49","NH Black",0.206969135310104,0.0535676222602568
"Women","35-49","NH Black",0.252934849274608,0.0429332751686337
"Men","50-64","NH Black",0.321252427025409,0.076696703093383
"Women","50-64","NH Black",0.366082014096199,0.0663657856981403
"Men","65 and over","NH Black",0.153499458120467,0.0708087674886811
"Women","65 and over","NH Black",0.275211502867176,0.0906162216286102
"Men","Under 18","Hispanic",0,0
"Women","Under 18","Hispanic",0,0
"Men","19-34","Hispanic",0.21152427102855,0.0327355516614045
"Women","19-34","Hispanic",0.33853419502631,0.0288021637244717
"Men","35-49","Hispanic",0.221019433908597,0.0569363732590248
"Women","35-49","Hispanic",0.181382969274398,0.0355278730219153
"Men","50-64","Hispanic",0.271482649817169,0.107758839722911
"Women","50-64","Hispanic",0.167911198008299,0.0552125410317581
"Men","65 and over","Hispanic",0.166872169003991,0.0845222201566518
"Women","65 and over","Hispanic",0.155269188536583,0.0654255943771476
"Men","Under 18","NH White",0,0
"Women","Under 18","NH White",0,0
"Men","19-34","NH White",0.32319141343268,0.0274585731763634
"Women","19-34","NH White",0.472403827520552,0.0224209820656398
"Men","35-49","NH White",0.367089593595885,0.0431610757980934
"Women","35-49","NH White",0.447431039450039,0.0300716956029783
"Men","50-64","NH White",0.273438956011469,0.0534475104811173
"Women","50-64","NH White",0.418916563385487,0.0461862864803114
"Men","65 and over","NH White",0.087707659217444,0.0398603730161916
"Women","65 and over","NH White",0.310634940541942,0.0684809689729421
"Men","Under 18","Other",0,0
"Women","Under 18","Other",0,0
"Men","19-34","Other",0.295869432395067,0.0602230839809329
"Women","19-34","Other",0.354281738086668,0.0491609262617153
"Men","35-49","Other",0.143366421514461,0.047356944068428
"Women","35-49","Other",0.305416482537543,0.0746526491365884
"Men","50-64","Other",0.23315643954206,0.123195495698415
"Women","50-64","Other",0.194785245265584,0.0724515864973374
"Men","65 and over","Other",0.128009734837447,0.122182257702487
"Women","65 and over","Other",0.354731401181626,0.155461848528232
