"Gender","Age.Group","Race","p","se","health_outcome"
"Men","Under 18","NH Black",0,0,"AMI"
"Women","Under 18","NH Black",0,0,"AMI"
"Men","19-34","NH Black",0.31181223986762,0.0399092815782476,"AMI"
"Women","19-34","NH Black",0.300289655709072,0.029024517639949,"AMI"
"Men","35-49","NH Black",0.206969135310104,0.0535676222602559,"AMI"
"Women","35-49","NH Black",0.252934849274608,0.0429332751686338,"AMI"
"Men","50-64","NH Black",0.321252427025409,0.0766967030933827,"AMI"
"Women","50-64","NH Black",0.366082014096199,0.0663657856981401,"AMI"
"Men","65 and over","NH Black",0.153499458120467,0.0708087674886817,"AMI"
"Women","65 and over","NH Black",0.275211502867176,0.0906162216286102,"AMI"
"Men","Under 18","Hispanic",0,0,"AMI"
"Women","Under 18","Hispanic",0,0,"AMI"
"Men","19-34","Hispanic",0.21152427102855,0.0327355516614046,"AMI"
"Women","19-34","Hispanic",0.33853419502631,0.0288021637244716,"AMI"
"Men","35-49","Hispanic",0.221019433908597,0.0569363732590246,"AMI"
"Women","35-49","Hispanic",0.181382969274398,0.0355278730219151,"AMI"
"Men","50-64","Hispanic",0.271482649817169,0.107758839722911,"AMI"
"Women","50-64","Hispanic",0.167911198008299,0.0552125410317584,"AMI"
"Men","65 and over","Hispanic",0.166872169003991,0.0845222201566515,"AMI"
"Women","65 and over","Hispanic",0.155269188536583,0.0654255943771475,"AMI"
"Men","Under 18","NH White",0,0,"AMI"
"Women","Under 18","NH White",0,0,"AMI"
"Men","19-34","NH White",0.32319141343268,0.0274585731763634,"AMI"
"Women","19-34","NH White",0.472403827520552,0.0224209820656398,"AMI"
"Men","35-49","NH White",0.367089593595885,0.0431610757980936,"AMI"
"Women","35-49","NH White",0.44743103945004,0.0300716956029782,"AMI"
"Men","50-64","NH White",0.273438956011469,0.0534475104811179,"AMI"
"Women","50-64","NH White",0.418916563385487,0.0461862864803108,"AMI"
"Men","65 and over","NH White",0.087707659217444,0.0398603730161911,"AMI"
"Women","65 and over","NH White",0.310634940541942,0.0684809689729422,"AMI"
"Men","Under 18","Other",0,0,"AMI"
"Women","Under 18","Other",0,0,"AMI"
"Men","19-34","Other",0.295869432395067,0.0602230839809329,"AMI"
"Women","19-34","Other",0.354281738086668,0.0491609262617156,"AMI"
"Men","35-49","Other",0.143366421514461,0.0473569440684284,"AMI"
"Women","35-49","Other",0.305416482537542,0.074652649136588,"AMI"
"Men","50-64","Other",0.23315643954206,0.123195495698415,"AMI"
"Women","50-64","Other",0.194785245265584,0.0724515864973378,"AMI"
"Men","65 and over","Other",0.128009734837447,0.122182257702489,"AMI"
"Women","65 and over","Other",0.354731401181626,0.155461848528234,"AMI"
"Men","Under 18","NH Black",0,0,"SMI"
"Women","Under 18","NH Black",0,0,"SMI"
"Men","19-34","NH Black",0.0568398767962409,0.0188880596493565,"SMI"
"Women","19-34","NH Black",0.0873034052370631,0.0174174563247649,"SMI"
"Men","35-49","NH Black",0.0463989673955304,0.0253883840453149,"SMI"
"Women","35-49","NH Black",0.045201563566297,0.0155238377477197,"SMI"
"Men","50-64","NH Black",0.0474691853437454,0.0339997437128483,"SMI"
"Women","50-64","NH Black",0.0319073706437549,0.0209710415108236,"SMI"
"Men","65 and over","NH Black",0,0,"SMI"
"Women","65 and over","NH Black",0.0680722161018431,0.0544798088053477,"SMI"
"Men","Under 18","Hispanic",0,0,"SMI"
"Women","Under 18","Hispanic",0,0,"SMI"
"Men","19-34","Hispanic",0.0855327794456665,0.0265588679777475,"SMI"
"Women","19-34","Hispanic",0.107909485378602,0.0176681316913803,"SMI"
"Men","35-49","Hispanic",0.0809798474335373,0.0420779706378965,"SMI"
"Women","35-49","Hispanic",0.0312791533133603,0.0101881415476922,"SMI"
"Men","50-64","Hispanic",0.0254394288998154,0.0257448546253504,"SMI"
"Women","50-64","Hispanic",0.0212221220215028,0.0127484578221427,"SMI"
"Men","65 and over","Hispanic",0,0,"SMI"
"Women","65 and over","Hispanic",0.0386418111623592,0.0377880452820598,"SMI"
"Men","Under 18","NH White",0,0,"SMI"
"Women","Under 18","NH White",0,0,"SMI"
"Men","19-34","NH White",0.088275214492343,0.0129001179594759,"SMI"
"Women","19-34","NH White",0.164196873615415,0.0165696890790874,"SMI"
"Men","35-49","NH White",0.100149302572857,0.0211378251062372,"SMI"
"Women","35-49","NH White",0.166529821642159,0.0232014925977995,"SMI"
"Men","50-64","NH White",0.0474890489002577,0.0236926491136276,"SMI"
"Women","50-64","NH White",0.133485534852913,0.0337161536995441,"SMI"
"Men","65 and over","NH White",0.00309420214792509,0.00234945546929127,"SMI"
"Women","65 and over","NH White",0.0836400707516816,0.0483322840814591,"SMI"
"Men","Under 18","Other",0,0,"SMI"
"Women","Under 18","Other",0,0,"SMI"
"Men","19-34","Other",0.0304676042791668,0.0119012661426512,"SMI"
"Women","19-34","Other",0.113952165245427,0.0313146859560533,"SMI"
"Men","35-49","Other",0.0476915813743847,0.0212473778306398,"SMI"
