"Gender","Age.Group","Race","smipy","se"
"Men","Under 18","NH Black",0,0
"Women","Under 18","NH Black",0,0
"Men","19-34","NH Black",0.0568398767962409,0.0188880596493565
"Women","19-34","NH Black",0.0873034052370631,0.0174174563247651
"Men","35-49","NH Black",0.0463989673955304,0.0253883840453149
"Women","35-49","NH Black",0.0452015635662971,0.0155238377477196
"Men","50-64","NH Black",0.0474691853437454,0.0339997437128472
"Women","50-64","NH Black",0.0319073706437549,0.0209710415108233
"Men","65 and over","NH Black",0,0
"Women","65 and over","NH Black",0.0680722161018431,0.0544798088053481
"Men","Under 18","Hispanic",0,0
"Women","Under 18","Hispanic",0,0
"Men","19-34","Hispanic",0.0855327794456665,0.0265588679777478
"Women","19-34","Hispanic",0.107909485378602,0.0176681316913802
"Men","35-49","Hispanic",0.0809798474335374,0.0420779706378958
"Women","35-49","Hispanic",0.0312791533133604,0.0101881415476922
"Men","50-64","Hispanic",0.0254394288998153,0.02574485462535
"Women","50-64","Hispanic",0.0212221220215028,0.0127484578221425
"Men","65 and over","Hispanic",0,0
"Women","65 and over","Hispanic",0.0386418111623592,0.0377880452820592
"Men","Under 18","NH White",0,0
"Women","Under 18","NH White",0,0
"Men","19-34","NH White",0.088275214492343,0.0129001179594759
"Women","19-34","NH White",0.164196873615415,0.0165696890790874
"Men","35-49","NH White",0.100149302572857,0.0211378251062372
"Women","35-49","NH White",0.166529821642159,0.0232014925977996
"Men","50-64","NH White",0.0474890489002577,0.0236926491136274
"Women","50-64","NH White",0.133485534852913,0.0337161536995438
"Men","65 and over","NH White",0.00309420214792509,0.00234945546929127
"Women","65 and over","NH White",0.0836400707516816,0.0483322840814583
"Men","Under 18","Other",0,0
"Women","Under 18","Other",0,0
"Men","19-34","Other",0.0304676042791667,0.0119012661426512
"Women","19-34","Other",0.113952165245427,0.0313146859560537
"Men","35-49","Other",0.0476915813743847,0.0212473778306399
"Women","35-49","Other",0.0576873454289713,0.0210910496689901
"Men","50-64","Other",0.0180019936816286,0.018297775330782
"Women","50-64","Other",0.132768024834424,0.0653740000074794
"Men","65 and over","Other",0,0
"Women","65 and over","Other",0,0
