STATE,sex,Total,se
AK,Male,4170.666666666544,1157.4194703854223
AK,Female,1112.9333333333007,286.80275839366925
AL,Male,209401.2131806937,29429.754766369835
AL,Female,76060.11817242173,11017.244447702042
AR,Male,124038.58463266048,22038.528284362957
AR,Female,46021.15970942269,8342.661714094897
AZ,Male,142105.75268817157,68596.14930024387
AZ,Female,47264.21935483862,23097.475027879467
CA,Male,751993.7091070828,128578.29164061145
CA,Female,197977.61330659763,32140.88375942372
CO,Male,165718,39771.8248293254
CO,Female,51879,12688.499605405028
DC,Male,9043,NA
DC,Female,1430,NA
FL,Male,500267.0269250276,80769.84729382281
FL,Female,156695.37698708288,24207.958308289104
GA,Male,450319.965013419,80529.52917545417
GA,Female,126535.879052713,15401.933718817481
IA,Male,100482.3048654318,17783.969330110096
IA,Female,33220.57071267434,6050.685287049733
ID,Male,51178.83414634154,13685.31933475704
ID,Female,18888.85365853661,5470.129507748193
IL,Male,197854.67756910672,52714.79122452328
IL,Female,56107.63832032046,9225.008684161898
IN,Male,185643.28879173426,23097.06079725926
IN,Female,57839.109451427415,6270.364654799758
KS,Male,118962.58248628685,26173.355221291662
KS,Female,40369.700268679226,9667.224393693366
KY,Male,209733.06360260042,27388.060082719836
KY,Female,81721.44738816722,9634.892427046103
LA,Male,197568.42281523647,26174.838262218225
LA,Female,51763.108031174335,8006.757412879096
MA,Male,52182,11750.182663064628
MA,Female,7295,2891.0661993857507
MD,Male,63721.52373158732,12768.176370245785
MD,Female,15463.585924713536,2791.8770472205147
ME,Male,23539.89130434784,5400.117585725891
ME,Female,7492.4347826087,1730.8137539056256
MI,Male,217040.92273145143,33105.7130089389
MI,Female,63299.95885373667,8912.407780754706
MN,Male,152126.49817425953,31608.212377977485
MN,Female,49202.0356958148,9580.567227684553
MO,Male,205783.51781877686,27831.02176400415
MO,Female,58585.85559209204,7755.6852137912365
MS,Male,120814.93931075414,17383.871555164103
MS,Female,29126.843714904422,4537.318375721918
MT,Male,31496.718475073027,6732.149473342936
MT,Female,10926.643206255998,2406.496196007173
NC,Male,290436.26894407027,33733.224709864815
NC,Female,91633.85801777469,10214.819399617467
ND,Male,34744,9465.931736303806
ND,Female,11765,3658.6653925366627
NE,Male,50662.39361702118,15842.601190401168
NE,Female,16192.47021276593,6155.446292463549
NH,Male,16993,4448.643750877589
NH,Female,5424,1315.509364804709
NJ,Male,101882.01746348971,17095.558011707588
NJ,Female,16866.794214003992,3287.599411387391
NM,Male,83349.53994116277,19158.04494130121
NM,Female,29366.03490608721,6967.147954107552
NV,Male,114718.03125,54367.900977091915
NV,Female,42301.515625,21265.521207984937
NY,Male,137564.76297500267,42186.205840120805
NY,Female,30049.30688699008,5466.64628429263
OH,Male,296495.20648396417,49774.923884368785
OH,Female,99564.13798697242,13875.636030532334
OK,Male,152718.52935835367,29596.436920864046
OK,Female,54713.07663438262,10552.854240095721
OR,Male,138541,30839.428382232654
OR,Female,44380,9907.503972819217
PA,Male,159945,26062.098710396986
PA,Female,41487,5591.630706008845
SC,Male,142470.40107361882,25989.585373539227
SC,Female,39363.90337423289,8218.378197101812
SD,Male,48611.710999999996,15779.341148091587
SD,Female,18061.546,6910.441596220872
TN,Male,287093.5017176876,40942.85231456494
TN,Female,110837.2154111077,15402.11854965242
TX,Male,776800.7333488442,120969.56027614136
TX,Female,217109.15370273366,30778.562183284477
UT,Male,72275,24870.83361255375
UT,Female,24688,8878.310312215945
VA,Male,218493.0657371913,27428.056164841884
VA,Female,65724.2950156851,9140.85408405287
WA,Male,202326.72724027082,44701.843497761976
WA,Female,64429.974605959906,15002.454822022282
WI,Male,163159.5154445654,30832.959960560023
WI,Female,44660.64079365459,5901.253105751484
WV,Male,33632,4784.279109751019
WV,Female,12310,1720.7718616946295
WY,Male,21642.905201455196,5750.934990882199
WY,Female,6778.884651664151,1795.6993703876153
