STATE,sex,race,Total,se
AK,Male,White (NH),1312.7777777777392,407.4653255075435
AK,Male,Black (NH),0,NA
AK,Male,Hispanic,117.11111111110766,117.11111111110765
AK,Male,"Multiracial, other, or missing",2442.7111111110394,1196.1492654284837
AL,Male,White (NH),113722.90112553486,14278.737936130245
AL,Male,Black (NH),88342.87909056459,16838.271789393184
AL,Male,Hispanic,5842.520298294928,1339.0190094472491
AL,Male,"Multiracial, other, or missing",708.6789788941333,221.45840299483766
AR,Male,White (NH),73646.17759030429,12357.987725843159
AR,Male,Black (NH),37028.78656874022,10638.920824488523
AR,Male,Hispanic,6529.0164434041735,2478.6733733681153
AR,Male,"Multiracial, other, or missing",6834.6040302118,3595.0783108274395
AZ,Male,White (NH),74786.86827552636,41763.603880531395
AZ,Male,Black (NH),19885.829438007662,14600.355822979007
AZ,Male,Hispanic,34719.73758176985,12813.78950812181
AZ,Male,"Multiracial, other, or missing",12713.317392867688,4942.810569101088
CA,Male,White (NH),235398.7155983183,33701.9478230949
CA,Male,Black (NH),146134.15408384125,34260.999702667774
CA,Male,Hispanic,313466.7213652298,65495.98674313976
CA,Male,"Multiracial, other, or missing",56994.118059693435,11790.794671800128
CO,Male,White (NH),78159.15188720314,17427.219178372132
CO,Male,Black (NH),20672.414434888193,9020.167550241675
CO,Male,Hispanic,31396.3773036466,9975.430617685626
CO,Male,"Multiracial, other, or missing",35490.05637426206,20757.398670210805
DC,Male,White (NH),408.10456796918,408.10456796918
DC,Male,Black (NH),7953.062190423776,7953.062190423776
DC,Male,Hispanic,507.642267473858,507.642267473858
DC,Male,"Multiracial, other, or missing",174.19097413318656,174.19097413318656
FL,Male,White (NH),231419.71858766154,32390.0523288785
FL,Male,Black (NH),198511.03094125685,41808.49308611754
FL,Male,Hispanic,50403.500907482885,18412.03570265505
FL,Male,"Multiracial, other, or missing",19932.776488626285,12744.98183689694
GA,Male,White (NH),183779.64075915486,21049.68481638527
GA,Male,Black (NH),243157.16442268362,64850.22779826407
GA,Male,Hispanic,19187.001593279063,6607.755259000988
GA,Male,"Multiracial, other, or missing",4196.158238301428,1527.2998948599025
IA,Male,White (NH),65859.31986990079,9654.678932465384
IA,Male,Black (NH),22066.108934609234,6401.697429168226
IA,Male,Hispanic,8119.869738188815,2064.8408891285526
IA,Male,"Multiracial, other, or missing",4437.00632273296,1432.7530614826696
ID,Male,White (NH),37716.10911110888,10304.973673130658
ID,Male,Black (NH),1517.9940523412438,603.8581014866154
ID,Male,Hispanic,9011.031485834095,3028.104619461456
ID,Male,"Multiracial, other, or missing",2902.4799848621988,870.9460431993147
IL,Male,White (NH),77611.39182287177,8156.691127068721
IL,Male,Black (NH),90590.56814144105,38472.98198103343
IL,Male,Hispanic,24124.75067099727,8915.030343499693
IL,Male,"Multiracial, other, or missing",5421.771955953203,2811.070164443535
IN,Male,White (NH),127672.14269280524,12954.171755548145
IN,Male,Black (NH),32293.934550493414,7744.336977410414
IN,Male,Hispanic,8015.229041872077,2334.93061248207
IN,Male,"Multiracial, other, or missing",17661.982506563523,12128.565682843517
KS,Male,White (NH),75871.2716707629,17999.028059025943
KS,Male,Black (NH),23705.913612702396,7527.755074940748
