state,los_cutoff,p,se,p.m,p.lwr,p.upr,nStrata,p.raw
AL,30,-1.5356158793155512,0.07015860787865935,0.21532303731970706,0.18765985740792465,0.2470640820098271,104863,0.21687344439888234
AL,60,-2.201028815737497,0.08918537382143092,0.11068922094959785,0.09293741806508335,0.13183176259371485,104863,0.10933312989328933
AL,90,-2.7136693861672754,0.09967720049833824,0.06629310486837603,0.05452842742221085,0.0805960479854109,104863,0.06485605027512087
AR,30,-1.5422117700586473,0.06428086797756308,0.21390746370764846,0.1885862237622306,0.2426285553473333,95781,0.20423674841565656
AR,60,-2.10220793200242,0.08189625445455495,0.12218635105190583,0.10406686630490056,0.14346068939597278,95781,0.11677681377308652
AR,90,-2.5435102682678346,0.09158228742945163,0.07859004289728015,0.06567688425323367,0.09404214150570386,95781,0.07656006932481389
AZ,30,-1.453056783455754,0.16622015826994382,0.23385435230574803,0.16883349149514323,0.323915934024939,92670,0.282022229416208
AZ,60,-1.9983159089120206,0.21099195412764177,0.13556339220522837,0.0896490621673863,0.20499303463850574,92670,0.16471349951440595
AZ,90,-2.438593307271276,0.23521096736993405,0.08728354627468048,0.05504532555771249,0.13840262316727928,92670,0.11006798316607316
CA,30,-1.56590232215611,0.07334449842438859,0.2088994335190147,0.1809282206199284,0.24119495109741113,242576,0.1912596464613152
CA,60,-2.122943458178251,0.09311401126309819,0.11967883989684408,0.09971456078301338,0.14364025280342407,242576,0.10959039641184619
CA,90,-2.6546385985491487,0.10395486860656317,0.07032424935896944,0.057361243902667704,0.08621675039499124,242576,0.06308950596926324
CO,30,-1.5737695938462908,0.11792509738798154,0.20726241280641633,0.16449114539686885,0.2611551379175638,108865,0.20279244936389107
CO,60,-2.235138558702309,0.14966353939448335,0.10697730618944226,0.07978069622639107,0.1434450259380416,108865,0.11090800532769944
CO,90,-2.787100542168944,0.1669434755258717,0.061599560564028495,0.04440941681279858,0.08544372194024975,108865,0.06481421944610297
FL,30,-1.3561921883155847,0.06451740432032756,0.2576399559404366,0.22703661449806808,0.2923684668384401,241021,0.2499491745532547
FL,60,-1.9405430811803281,0.08190794138525498,0.14362592805502208,0.12232428384594399,0.1686370568549245,241021,0.13818712892237606
FL,90,-2.378013109667277,0.09134758591951299,0.09273464816163013,0.0775330417636938,0.11091677527461972,241021,0.08987598590994146
GA,30,-1.6011494285491945,0.060932342418589316,0.20166458569322923,0.1789632815510593,0.22724552640268164,170491,0.20805203793748644
GA,60,-2.229647865599191,0.07825795664015928,0.1075663012625827,0.0922705144319727,0.12539768785881394,170491,0.11315553313664652
GA,90,-2.705577391985317,0.08735585097814627,0.0668317246020688,0.05631514843195822,0.07931221949425052,170491,0.07141725956208832
IA,30,-1.8710301155396938,0.10243473523685771,0.1539649783812288,0.1259590396064609,0.1881978033652483,49189,0.14671979507613492
IA,60,-2.5218313921107693,0.1328634369633081,0.08031238850880551,0.061899762048842906,0.104202012002886,49189,0.07296346744190774
IA,90,-3.161053564246467,0.15001878020746448,0.04238106637454795,0.031584620482407864,0.056868018662572455,49189,0.0393583931366769
