state,sex_gender_standardized,los_cutoff,p,se,p.m,p.lwr,p.upr,nStrata,p.raw
AL,Male,3,-0.5150045538048419,0.033501768630635434,0.5974978737233319,0.5595251430910746,0.6380476615074878,77890,0.5963409937090769
AL,Male,7,-0.8443531010484118,0.044261609142698013,0.4298353283150035,0.3941182606190557,0.4687892643630878,77890,0.4399537809731673
AL,Male,14,-1.1275777995843168,0.057092359911501495,0.3238166561027336,0.2895356724091176,0.36215650353919576,77890,0.33822056746694057
AL,Male,30,-1.5570251905080963,0.07344685424190177,0.21076211670133088,0.18250487762580805,0.24339442547668041,77890,0.2296186930286301
AL,Male,60,-2.1767135279757177,0.0775714618362074,0.11341364961284311,0.09741736494163264,0.13203658224805584,77890,0.11864167415586083
AL,Male,90,-2.626911880701733,0.08893445741479003,0.07230139317048656,0.060735906574459,0.086069209290301,77890,0.07161381435357556
AL,Female,3,-0.6104032591783027,0.033563263114797647,0.543131802022875,0.5085528956022272,0.5800618911417001,25515,0.5601802861062121
AL,Female,7,-0.9859324479400733,0.04433453965073766,0.373091176593392,0.34204035598436955,0.40696082674584355,25515,0.39737409367038995
AL,Female,14,-1.3196835959960977,0.057178425169902014,0.26721983801804344,0.23889019923980165,0.29890904715898575,25515,0.29041740152851264
AL,Female,30,-1.84145155695505,0.07356823186584582,0.1585870608021009,0.1372923559515167,0.18318467681282014,25515,0.18024691358024691
AL,Female,60,-2.5973014720233407,0.07783570912713242,0.0744742782185677,0.06393702537110596,0.0867481413779242,25515,0.08226533411718596
AL,Female,90,-3.1747893551156583,0.08924338255795995,0.041802908726434836,0.035094769707785405,0.04979326527972574,25515,0.0458161865569273
AL,Unknown Gender,3,-0.6836344788438259,0.03628943832253796,0.5047790456373503,0.47012320939904295,0.5419895887298709,1455,0.5202749140893471
AL,Unknown Gender,7,-1.0398480946832882,0.04803517921745698,0.35350837768241605,0.32174521129057637,0.38840725116120456,1455,0.384192439862543
AL,Unknown Gender,14,-1.3791246352577369,0.06208954324634455,0.2517988724708683,0.222947735747247,0.2843835662429844,1455,0.29690721649484536
AL,Unknown Gender,30,-1.8845983071185541,0.08081346157378747,0.1518900603327941,0.12964053404524986,0.17795815635754203,1455,0.177319587628866
AL,Unknown Gender,60,-2.4862306318960368,0.09038731134471283,0.08322307449746626,0.06971174226238323,0.09935313483834934,1455,0.0859106529209622
AL,Unknown Gender,90,-2.945648318152846,0.10459458084961733,0.05256796799838415,0.042824285050121404,0.06452860231629964,1455,0.03711340206185567
AL,Trans,3,-0.9332980355576588,0.19351536779904968,0.39325460163632825,0.26912449845879216,0.5746380674884075,3,0
AL,Trans,7,-1.3812794143496987,0.2422150857725442,0.25125688566571347,0.15629465190852543,0.40391671642982074,3,0
AL,Trans,14,-1.6504330027118082,0.28679884211944473,0.19196676849076869,0.10942144285147704,0.3367826199733844,3,0
AL,Trans,30,-2.1731318150149743,0.3916098731887134,0.11382059309391172,0.052830158772919356,0.24522219340538118,3,0
AL,Trans,60,-2.7131729499841337,0.5242538135125697,0.0663260233346083,0.02373768182085926,0.18532312483510083,3,0
AL,Trans,90,-2.770101047978427,0.5330649473006059,0.06265567319315028,0.02204015755546618,0.1781173012673509,3,0
AR,Male,3,-0.4978133353134072,0.031121732050854115,0.6078583900089937,0.5718887444274947,0.6460903906654362,70129,0.5943903378060431
AR,Male,7,-0.8537994254040009,0.041027530832140925,0.42579408189749435,0.39289538117651907,0.4614475223303169,70129,0.4207246645467638
AR,Male,14,-1.1319192635284847,0.05281236553176489,0.32241386505247804,0.2907098471956119,0.357575436060587,70129,0.3205663848051448
AR,Male,30,-1.542178652495235,0.06797150005496538,0.21391454791894743,0.1872332066763416,0.24439806711460718,70129,0.2180267792211496
AR,Male,60,-2.1083520918719256,0.07177194545669792,0.12143792017114374,0.10550230055793407,0.1397805391683855,70129,0.1290051191375893
AR,Male,90,-2.560328756540663,0.08166776831969441,0.07727933018137852,0.06584876266693405,0.09069410921947976,70129,0.08679718803918493
AR,Female,3,-0.5932120406868681,0.03120960827467985,0.552549619437108,0.5197633075204451,0.5874040693572495,25312,0.5413242730720607
AR,Female,7,-0.9953787722956624,0.04114348732174374,0.3695834300646857,0.34095031175487184,0.4006211669827771,25312,0.36717762326169406
AR,Female,14,-1.3240250599402656,0.052953228270497595,0.2660622274067366,0.23983322807224647,0.29515972170173915,25312,0.27010903919089757
AR,Female,30,-1.8266050189421887,0.0681997687821406,0.16095909430132338,0.14081981557971493,0.1839785823582227,25312,0.16861567635903918
AR,Female,60,-2.5289400359195486,0.07242970740396512,0.07974350075130479,0.06918995029595072,0.09190678537668358,25312,0.08430783817951959
AR,Female,90,-3.1082062309545884,0.08279569739092792,0.044681030950464135,0.037988081396433365,0.05255318124552013,25312,0.049107142857142856
AR,Unknown Gender,3,-0.6664432603523912,0.03426224130442901,0.5135318324722172,0.4801791481789307,0.5492011553654648,340,0.08529411764705883
AR,Unknown Gender,7,-1.0492944190388773,0.04529712337345684,0.3501847456522876,0.3204352184880265,0.3826962487649889,340,0.023529411764705882
AR,Unknown Gender,14,-1.3834660992019048,0.05853710829099711,0.2507080663059918,0.223532888593362,0.2811869649536488,340,0.01764705882352941
AR,Unknown Gender,30,-1.8697517691056929,0.0764979847884499,0.15416192481837096,0.13269724961704682,0.17909865601805208,340,0.011764705882352941
AR,Unknown Gender,60,-2.4178691957922447,0.08637363461536397,0.08911129402607629,0.07523351953415107,0.10554899959714378,340,0.011764705882352941
AR,Unknown Gender,90,-2.879065193991776,0.09939880866805312,0.05618726248237147,0.0462412381171136,0.0682725764666435,340,0.008823529411764706
