state,raceEthnicity,sex_gender_standardized,ageCat,los_cutoff,p,se,p.m,p.lwr,p.upr,nStrata,p.raw
AL,Black,Female,<18,30,-7.153953335141085,0.11186538587418061,7.817673757479352e-4,6.278523927146312e-4,9.734138738268618e-4,NA,NA
AL,Black,Female,<18,60,-7.908106927871736,0.14779041630115475,3.677500995172055e-4,2.752665048369492e-4,4.913061826211744e-4,NA,NA
AL,Black,Female,<18,90,-8.527458444456757,0.17580757835395278,1.979574509693932e-4,1.4025687905557514e-4,2.793955822927748e-4,NA,NA
AL,Black,Female,18-34,30,-2.538732704897713,0.07906761437952564,0.07896641015079943,0.06763008291241572,0.09220296151610236,6458,0.07308764323319913
AL,Black,Female,18-34,60,-3.2977058708628544,0.11007729796914319,0.0369678792830902,0.029793846192652174,0.04586934126773365,6458,0.03174357386187674
AL,Black,Female,18-34,90,-3.870782932392789,0.12797500455307195,0.020842045123377187,0.016218392646127115,0.026783840692660852,6458,0.016258903685351503
AL,Black,Female,35-49,30,-2.9800466383987674,0.07917613391146232,0.05079046502369809,0.04348979312170359,0.05931670748822472,6458,0.04955094456488077
AL,Black,Female,35-49,60,-3.731104024210344,0.11019680741935103,0.023966361781758476,0.019310895706977322,0.02974416649387209,6458,0.024310932177144626
AL,Black,Female,35-49,90,-4.316395544530655,0.12812554918028063,0.013347908881021314,0.010383710421244884,0.017158285840822553,6458,0.015329823474759988
AL,Black,Female,50-64,30,-4.0101216135195425,0.0796318406775706,0.018131190104874715,0.015511134575094863,0.02119381100251308,6445,0.008688906128782002
AL,Black,Female,50-64,60,-4.790889391227386,0.11071841103972897,0.008305067641921696,0.006684970446599334,0.010317794085683979,6445,0.003568657874321179
AL,Black,Female,50-64,90,-5.384598502264888,0.12876065772595482,0.0045866814948343085,0.0035636686180791663,0.005903367958605218,6445,0.0027928626842513575
AL,Black,Female,65+,30,-6.157138037780185,0.08334987892363174,0.002118307119604873,0.001799042322741836,0.002494229844537468,5219,9.580379383023567e-4
AL,Black,Female,65+,60,-6.972651173828788,0.11524260846526814,9.371650220074669e-4,7.476896773648646e-4,0.0011746561508908804,5219,3.832151753209427e-4
AL,Black,Female,65+,90,-7.569167058054022,0.13442194958933187,5.161221694254876e-4,3.965814014419735e-4,6.716958808554917e-4,5219,0
AL,Black,Male,<18,30,-6.807687312581938,0.1116494526800164,0.0011052460351172427,8.88020065691132e-4,0.0013756094544909385,10389,1.925113100394648e-4
AL,Black,Male,<18,60,-7.456857632362902,0.1475576168743403,5.774679399410763e-4,4.324407448606103e-4,7.71132751996527e-4,10389,9.62556550197324e-5
AL,Black,Male,<18,90,-7.985487551552077,0.17551550910086589,3.4036650959389013e-4,2.412946811346741e-4,4.8011568389470067e-4,10389,9.62556550197324e-5
