"","state","ageCat","sex","race","releases"
"1","AK","18-24","Female","Black",26
"2","AK","18-24","Female","Hispanic",7
"3","AK","18-24","Female","Other or Unknown",8
"4","AK","18-24","Female","White",139
"5","AK","18-24","Male","Black",115
"6","AK","18-24","Male","Hispanic",53
"7","AK","18-24","Male","Other or Unknown",21
"8","AK","18-24","Male","White",506
"9","AK","25-34","Female","Black",34
"10","AK","25-34","Female","Hispanic",16
"11","AK","25-34","Female","Other or Unknown",11
"12","AK","25-34","Female","White",396
"13","AK","25-34","Male","Black",255
"14","AK","25-34","Male","Hispanic",74
"15","AK","25-34","Male","Other or Unknown",21
"16","AK","25-34","Male","White",1266
"17","AK","35-44","Female","Black",13
"18","AK","35-44","Female","Hispanic",13
"19","AK","35-44","Female","Other or Unknown",6
"20","AK","35-44","Female","White",179
"21","AK","35-44","Male","Black",140
"22","AK","35-44","Male","Hispanic",55
"23","AK","35-44","Male","Other or Unknown",10
"24","AK","35-44","Male","White",748
"25","AK","45-54","Female","Black",12
"26","AK","45-54","Female","Hispanic",7
"27","AK","45-54","Female","Other or Unknown",4
"28","AK","45-54","Female","White",132
"29","AK","45-54","Male","Black",91
"30","AK","45-54","Male","Hispanic",22
"31","AK","45-54","Male","Other or Unknown",9
"32","AK","45-54","Male","White",588
"33","AK","55+","Female","Black",3
"34","AK","55+","Female","Hispanic",2
"35","AK","55+","Female","Other or Unknown",2
"36","AK","55+","Female","White",73
"37","AK","55+","Male","Black",51
"38","AK","55+","Male","Hispanic",6
"39","AK","55+","Male","Other or Unknown",4
"40","AK","55+","Male","White",344
"41","AK","Under 18","Female","Black",3
"42","AK","Under 18","Female","Hispanic",3
"43","AK","Under 18","Female","Other or Unknown",2
"44","AK","Under 18","Female","White",54
"45","AK","Under 18","Male","Black",8
"46","AK","Under 18","Male","Hispanic",5
"47","AK","Under 18","Male","Other or Unknown",0
"48","AK","Under 18","Male","White",36
"49","AK",NA,NA,NA,0
"50","AL","18-24","Female","Black",0
"51","AL","18-24","Female","Hispanic",18.1663693434133
"52","AL","18-24","Female","Other or Unknown",66
"53","AL","18-24","Female","White",120
"54","AL","18-24","Male","Black",0
"55","AL","18-24","Male","Hispanic",77.6859035152459
"56","AL","18-24","Male","Other or Unknown",939
"57","AL","18-24","Male","White",605
"58","AL","25-34","Female","Black",0
"59","AL","25-34","Female","Hispanic",45.242276088753
"60","AL","25-34","Female","Other or Unknown",187
"61","AL","25-34","Female","White",638
"62","AL","25-34","Male","Black",1
"63","AL","25-34","Male","Hispanic",193.472180852434
"64","AL","25-34","Male","Other or Unknown",2094
"65","AL","25-34","Male","White",2112
"66","AL","35-44","Female","Black",0
"67","AL","35-44","Female","Hispanic",33.2072541242274
"68","AL","35-44","Female","Other or Unknown",152
"69","AL","35-44","Female","White",478
"70","AL","35-44","Male","Black",1
"71","AL","35-44","Male","Hispanic",142.006115318597
"72","AL","35-44","Male","Other or Unknown",1589
"73","AL","35-44","Male","White",1767
"74","AL","45-54","Female","Black",1
"75","AL","45-54","Female","Hispanic",12.9401899736245
"76","AL","45-54","Female","Other or Unknown",71
"77","AL","45-54","Female","White",222
"78","AL","45-54","Male","Black",0
"79","AL","45-54","Male","Hispanic",55.3368882222153
"80","AL","45-54","Male","Other or Unknown",970
"81","AL","45-54","Male","White",1010
"82","AL","55+","Female","Black",0
"83","AL","55+","Female","Hispanic",0
"84","AL","55+","Female","Other or Unknown",29
"85","AL","55+","Female","White",49
"86","AL","55+","Male","Black",0
"87","AL","55+","Male","Hispanic",0
"88","AL","55+","Male","Other or Unknown",504
"89","AL","55+","Male","White",388
"90","AL","Under 18","Female","Black",0
"91","AL","Under 18","Female","Hispanic",0.46800932350464
"92","AL","Under 18","Female","Other or Unknown",0
"93","AL","Under 18","Female","White",0
"94","AL","Under 18","Male","Black",0
"95","AL","Under 18","Male","Hispanic",2.00137553424781
"96","AL","Under 18","Male","Other or Unknown",0
"97","AL","Under 18","Male","White",0
"98","AR","18-24","Female","Black",59
"99","AR","18-24","Female","Hispanic",31.4709429166469
"100","AR","18-24","Female","Other or Unknown",0
"101","AR","18-24","Female","White",272
"102","AR","18-24","Male","Black",902
"103","AR","18-24","Male","Hispanic",107.693454553329
"104","AR","18-24","Male","Other or Unknown",0
"105","AR","18-24","Male","White",1373
"106","AR","25-34","Female","Black",259
"107","AR","25-34","Female","Hispanic",76.3956527485364
"108","AR","25-34","Female","Other or Unknown",0
"109","AR","25-34","Female","White",1541
"110","AR","25-34","Male","Black",3402
"111","AR","25-34","Male","Hispanic",282.280694390848
"112","AR","25-34","Male","Other or Unknown",0
"113","AR","25-34","Male","White",5882
"114","AR","35-44","Female","Black",211
"115","AR","35-44","Female","Hispanic",56.8714738324159
"116","AR","35-44","Female","Other or Unknown",0
"117","AR","35-44","Female","White",1216
"118","AR","35-44","Male","Black",2267
"119","AR","35-44","Male","Hispanic",218.234865827763
"120","AR","35-44","Male","Other or Unknown",0
"121","AR","35-44","Male","White",4507
"122","AR","45-54","Female","Black",129
"123","AR","45-54","Female","Hispanic",20.9926151359201
"124","AR","45-54","Female","Other or Unknown",0
"125","AR","45-54","Female","White",551
"126","AR","45-54","Male","Black",1265
"127","AR","45-54","Male","Hispanic",84.0132121977757
"128","AR","45-54","Male","Other or Unknown",0
"129","AR","45-54","Male","White",2552
"130","AR","55+","Female","Black",32
"131","AR","55+","Female","Hispanic",0
"132","AR","55+","Female","Other or Unknown",0
"133","AR","55+","Female","White",100
"134","AR","55+","Male","Black",527
"135","AR","55+","Male","Hispanic",7
"136","AR","55+","Male","Other or Unknown",0
"137","AR","55+","Male","White",901
"138","AR","Under 18","Female","Black",0
"139","AR","Under 18","Female","Hispanic",0.759242300799343
"140","AR","Under 18","Female","Other or Unknown",0
"141","AR","Under 18","Female","White",0
"142","AR","Under 18","Male","Black",0
"143","AR","Under 18","Male","Hispanic",2.56834292760105
"144","AR","Under 18","Male","Other or Unknown",0
"145","AR","Under 18","Male","White",0
"146","AZ","18-24","Female","Black",18
"147","AZ","18-24","Female","Hispanic",222.826018414666
"148","AZ","18-24","Female","Other or Unknown",0
"149","AZ","18-24","Female","White",149
"150","AZ","18-24","Male","Black",305
"151","AZ","18-24","Male","Hispanic",1812.62360200235
"152","AZ","18-24","Male","Other or Unknown",0
"153","AZ","18-24","Male","White",606
"154","AZ","25-34","Female","Black",73
"155","AZ","25-34","Female","Hispanic",681.28584036359
"156","AZ","25-34","Female","Other or Unknown",0
"157","AZ","25-34","Female","White",528
"158","AZ","25-34","Male","Black",713
"159","AZ","25-34","Male","Hispanic",4443.12297089834
"160","AZ","25-34","Male","Other or Unknown",2
"161","AZ","25-34","Male","White",2159
"162","AZ","35-44","Female","Black",57
"163","AZ","35-44","Female","Hispanic",432.627559746308
"164","AZ","35-44","Female","Other or Unknown",4
"165","AZ","35-44","Female","White",395
"166","AZ","35-44","Male","Black",499
"167","AZ","35-44","Male","Hispanic",2972.40523236778
"168","AZ","35-44","Male","Other or Unknown",0
"169","AZ","35-44","Male","White",1563
"170","AZ","45-54","Female","Black",31
"171","AZ","45-54","Female","Hispanic",184.326373088821
"172","AZ","45-54","Female","Other or Unknown",0
"173","AZ","45-54","Female","White",255
"174","AZ","45-54","Male","Black",366
"175","AZ","45-54","Male","Hispanic",1285.87307913623
"176","AZ","45-54","Male","Other or Unknown",0
"177","AZ","45-54","Male","White",1277
