Age.Group,n,p.lwr,p.upr,p,health_outcome,se,pred,pred.upr,pred.lwr,pred.se
18-24,146,1.1803686538032536e-4,0.032683964588363645,0.005698737861341853,cvd,0.005564340681607121,0.005698737867650636,0.0377937065373888,8.356165465448513e-4,0.9820125563733698
25-34,285,0.004620045206767769,0.06597797460025967,0.022837754851348653,cvd,0.012540614436497842,0.022837754851348684,0.06569174280451491,0.00770889195855268,0.561951364562908
35-44,247,0.031221564118318706,0.13729975393378646,0.0717934205844637,cvd,0.023545368139075318,0.07179342058446356,0.13389453042686603,0.037256210347347975,0.35332648826182544
45-54,215,0.05840160520050945,0.1951331642463301,0.11418828143680566,cvd,0.030875305498595042,0.114188281436806,0.18994203104306515,0.06617881327177841,0.30524482185582624
55-64,293,0.09525113239520762,0.22452765244162354,0.1517413644560513,cvd,0.02978176334440461,0.15174136445605171,0.21968214824663213,0.10206420368971442,0.23137590675426228
65 and over,287,0.18099591364680287,0.3173513803828034,0.24446440946785136,cvd,0.0319138097037716,0.24446440946785117,0.31223240528500124,0.18739733298534714,0.1727858138455575
18-24,146,3.93876326556218e-5,0.013534279748021127,0.0022601298868346,str,0.0022665069442906523,0.002260129887939661,0.015982900182952335,3.158217382644081e-4,1.005093185341117
25-34,285,2.3306439480950866e-4,0.01053549569465173,0.0026343181953762387,str,0.001939735037385156,0.0026343181961779923,0.011101676815303368,6.210418739861166e-4,0.7382777130383945
35-44,247,0.008486784615208276,0.057302602686869486,0.025321948578549764,str,0.01047829095692289,0.02532194857854969,0.05634183639161948,0.011178244087262354,0.42455322544262364
45-54,215,0.05730707492382187,0.2042201346394018,0.11664512809835358,str,0.03307989623334344,0.11664512809835363,0.19855354729248564,0.06575381921312652,0.32104234987529334
55-64,293,0.05722579977477146,0.24592443633397043,0.13153643280726238,str,0.04225703180849349,0.13153643280726204,0.23822734287169933,0.0683407565195139,0.3699144737003564
65 and over,287,0.11915257645611617,0.21264840667267892,0.16191976230076977,str,0.021870628475424425,0.16191976230076996,0.20946858156219653,0.12347849668128817,0.1611668826062293
Under 18,177,0.019053828981828454,0.12020100375274556,0.0549387325041864,htn,0.021898827093775778,0.054938732526825226,0.11728819699915305,0.024802449166556724,0.42177637946048085
18-24,256,0.02784946309677322,0.1289841528692528,0.06607104978142697,htn,0.022255081240001015,0.0660710497814271,0.12545253911378507,0.03371355524100197,0.36066511593114486
25-34,285,0.13555434018468282,0.29893005932919015,0.20871281884458703,htn,0.037724254326414644,0.20871281884458703,0.29214203156953994,0.14425373861737378,0.22842172673927308
35-44,247,0.28994267649203553,0.4225898161033763,0.354197513431364,htn,0.031331537160205286,0.35419751343136363,0.4177112824261096,0.29544117354031746,0.13697347740160098
45-54,215,0.30580921194957383,0.6362867134904755,0.4685235809846083,htn,0.0768193247712029,0.46852358098460867,0.617411632872775,0.32503650803042283,0.30849990265229355
55-64,293,0.4849797052390448,0.6896682423956331,0.5901904455430652,htn,0.047919810640044136,0.5901904455430652,0.6798476999910331,0.4941086387697396,0.19812571151110334
65 and over,287,0.615975284965655,0.7405346106833919,0.680632279536503,htn,0.029396518909377438,0.6806322795365027,0.7353107548912234,0.6204882982864048,0.1352360086378152
Under 18,2294,0.002582114872356634,0.008950650423118489,0.005075078143284029,dm,0.0014210279549697117,0.005075078143286985,0.008777618994692753,0.0029297124484654103,0.28142947356639797
18-24,256,4.218459857771418e-4,0.032456257057114635,0.00723612513751362,dm,0.005866772904358557,0.007236125137513608,0.034865797241981994,0.0014684869393326078,0.8166712055284886
25-34,285,0.002570669275136957,0.04535449687865589,0.014677343389290215,dm,0.008598768929969162,0.014677343389290255,0.04559419365988399,0.004623267155916429,0.5945800790108592
35-44,247,0.051799545465353404,0.12980111985483755,0.08498839917307087,dm,0.01788754658575909,0.0849883991730709,0.12723926314803408,0.05586918365834001,0.2300194330014782
45-54,215,0.09638098366829559,0.2935199950035925,0.17990622562626968,dm,0.044929102154614216,0.17990622562627023,0.2849310654660544,0.10775946200430116,0.3045215506490011
55-64,293,0.19492676046717733,0.3438128545480109,0.2644562060127486,dm,0.03482787517458637,0.2644562060127486,0.3380467670294259,0.2019972154188455,0.1790460237282213
65 and over,287,0.3270660402560487,0.451611495616284,0.3879864208653717,dm,0.029472393418124538,0.38798642086537183,0.4470701532574289,0.33202230120916754,0.12411887245060996
Under 18,407,0.6182342364048435,0.7427441209406216,0.6829034249158025,ast,0.02933284200842449,0.6829034249157409,0.7374272091145274,0.6228482067730187,0.13545757639645895
18-24,54,0.3480822504549181,0.741601816730538,0.5506411940209714,ast,0.09119061731159339,0.5506411940209638,0.7161803009837018,0.37306987711859435,0.36854302864342375
25-34,70,0.590329350890015,0.8005447248577873,0.7032783688738125,ast,0.04874176608974202,0.7032783688679151,0.7893073404929165,0.5999271118287395,0.23357415893296027
35-44,56,0.688578477287307,0.9488167260086591,0.8510167827732199,ast,0.05786186821870671,0.8510167827644972,0.9332093665714304,0.7001746462192302,0.456369885168533
45-54,50,0.5062872608480193,0.8020570103695267,0.666034490418174,ast,0.06839062364884396,0.6660344904181728,0.7846423014762827,0.5219059378582974,0.30746679955953915
55-64,61,0.5164815359114194,0.9196394862946385,0.7588260245932709,ast,0.09183461634139091,0.7588260238555098,0.8937632583544555,0.5405947049006833,0.5018035805251108
65 and over,40,0.3437407258819873,0.7882731945994443,0.5775103227068672,ast,0.10367275169979943,0.5775103227068674,0.7586612674281408,0.3727981477756006,0.42490199686092034
18-24,146,7.586259784840272e-4,0.04489195735165119,0.010646282604589696,ckd,0.008231627610659408,0.010646283734301262,0.04742117014435439,0.002320665413609538,0.7815127910464936
25-34,285,0.01012871917562542,0.1862954366902555,0.06168721068123535,ckd,0.03632159761882481,0.06168721068123511,0.18360592596427358,0.01885563053929152,0.6275122002264779
35-44,247,0.009168508427330736,0.0627535437456177,0.027620307772601493,ckd,0.011498755734530025,0.027620307772602954,0.06168442659163277,0.012124418261741288,0.42814064071612024
45-54,215,0.02910641937457206,0.08270149040002861,0.05120223145848174,ckd,0.01216151800995972,0.05120223145848174,0.08100566769900977,0.03198240695086812,0.2503371157295442
55-64,293,0.015427416576653308,0.06260441632673552,0.03348600967534581,ckd,0.010461888425961166,0.033486009675347914,0.06128310897307094,0.018054755899270254,0.3232500054139442
65 and over,287,0.06818644186765405,0.18745561557910195,0.11855805038819721,ckd,0.027229278033727114,0.11855805038819725,0.18310303288656885,0.07468541843355912,0.26056216964181894
Under 18,1456,NA,NA,0,hbv,0,1.5662518897754356e-10,1.738740180872435e-10,1.4108749594721091e-10,0.05330474644395477
18-24,256,NA,NA,0,hbv,0,1.1562607460495407e-10,1.3967901293590254e-10,9.571508881316427e-11,0.0964229635344806
25-34,285,NA,NA,0,hbv,0,1.1667402163928812e-10,1.429554830174765e-10,9.522424070824281e-11,0.10364954121684608
