Age.Group,n,p.lwr,p.upr,p,health_outcome,se,pred,pred.upr,pred.lwr,pred.se
18-24,146,1.1803686538032558e-4,0.032683964588363645,0.005698737861341852,cvd,0.005564340681607119,0.005698737935647963,0.03779370612785765,8.35616575986031e-4,0.9820125445048035
25-34,285,0.0046200452067677675,0.06597797460025967,0.022837754851348653,cvd,0.012540614436497842,0.022837754851348646,0.06569174280451491,0.007708891958552653,0.5619513645629091
35-44,247,0.031221564118318716,0.13729975393378646,0.0717934205844637,cvd,0.023545368139075318,0.07179342058446371,0.13389453042686605,0.037256210347348113,0.35332648826182445
45-54,215,0.058401605200509486,0.19513316424633032,0.11418828143680577,cvd,0.030875305498595084,0.11418828143680577,0.1899420310430649,0.06617881327177824,0.3052448218558266
55-64,293,0.09525113239520765,0.22452765244162354,0.1517413644560513,cvd,0.0297817633444046,0.15174136445605127,0.21968214824663182,0.10206420368971393,0.23137590675426312
65 and over,287,0.18099591364680276,0.3173513803828033,0.24446440946785128,cvd,0.03191380970377159,0.24446440946785125,0.3122324052850013,0.18739733298534716,0.1727858138455575
18-24,146,3.938763265562177e-5,0.013534279748021127,0.0022601298868345993,str,0.0022665069442906515,0.0022601299001316307,0.015982900102623376,3.1582174329093486e-4,1.0050931799766556
25-34,285,2.3306439480950868e-4,0.01053549569465173,0.002634318195376239,str,0.0019397350373851563,0.0026343182034105693,0.01110167680183594,6.210418781645376e-4,0.7382777110080047
35-44,247,0.00848678461520828,0.057302602686869486,0.025321948578549767,str,0.01047829095692289,0.025321948578549743,0.05634183639161946,0.011178244087262403,0.4245532254426223
45-54,215,0.05730707492382192,0.20422013463940192,0.11664512809835367,str,0.03307989623334347,0.11664512809835373,0.19855354729248567,0.06575381921312663,0.32104234987529306
55-64,293,0.05722579977477154,0.24592443633397043,0.13153643280726238,str,0.04225703180849348,0.13153643280726235,0.23822734287169944,0.06834075651951421,0.36991447370035535
65 and over,287,0.1191525764561161,0.2126484066726788,0.16191976230076968,str,0.02187062847542442,0.1619197623007697,0.20946858156219625,0.12347849668128791,0.16116688260622952
18-24,256,0.02784946309677322,0.1289841528692528,0.06607104978142697,htn,0.022255081240001015,0.06607104978143229,0.12545253911378842,0.033713555241006464,0.3606651159311174
25-34,285,0.13555434018468285,0.29893005932919026,0.20871281884458706,htn,0.03772425432641465,0.208712818844587,0.29214203156954005,0.1442537386173737,0.2284217267392733
35-44,247,0.2899426764920353,0.4225898161033762,0.35419751343136374,htn,0.03133153716020529,0.3541975134313637,0.4177112824261097,0.2954411735403175,0.13697347740160098
45-54,215,0.30580921194957406,0.6362867134904758,0.4685235809846088,htn,0.07681932477120297,0.46852358098460883,0.6174116328727749,0.3250365080304232,0.30849990265229305
55-64,293,0.4849797052390448,0.6896682423956331,0.5901904455430652,htn,0.047919810640044115,0.5901904455430652,0.6798476999910332,0.4941086387697396,0.19812571151110336
65 and over,287,0.6159752849656549,0.7405346106833919,0.6806322795365028,htn,0.029396518909377424,0.6806322795365028,0.7353107548912236,0.620488298286405,0.1352360086378153
18-24,256,4.218459857771417e-4,0.032456257057114635,0.00723612513751362,dm,0.005866772904358558,0.007236125149299538,0.03486579721165496,0.0014684869454655554,0.8166712042315878
25-34,285,0.002570669275136957,0.045354496878656,0.014677343389290217,dm,0.008598768929969164,0.014677343389290215,0.045594193659884014,0.004623267155916404,0.5945800790108609
35-44,247,0.051799545465353404,0.12980111985483755,0.08498839917307087,dm,0.01788754658575909,0.08498839917307084,0.127239263148034,0.05586918365833994,0.23001943300147826
45-54,215,0.09638098366829564,0.2935199950035927,0.17990622562626982,dm,0.04492910215461426,0.1799062256262698,0.2849310654660542,0.1077594620043007,0.3045215506490021
55-64,293,0.19492676046717738,0.343812854548011,0.2644562060127486,dm,0.034827875174586354,0.26445620601274855,0.3380467670294258,0.20199721541884544,0.17904602372822134
65 and over,287,0.3270660402560488,0.4516114956162841,0.38798642086537183,dm,0.02947239341812453,0.38798642086537183,0.44707015325742877,0.3320223012091675,0.12411887245060996
18-24,256,0.08904577389383314,0.16434544488905067,0.12308444681211492,ast,0.017505053054142357,0.12308444681211489,0.16169512022921056,0.0926742591699425,0.1621819359893481
25-34,285,0.0940180770322165,0.2111715157261722,0.1455293937358621,ast,0.026993478973440732,0.14552939373586216,0.20674744798934233,0.1001495170940491,0.21707560154348005
35-44,247,0.11320109504553086,0.23124846055444925,0.16612658882524178,ast,0.027425872226622107,0.1661265888252418,0.22700544777396997,0.11905967348893018,0.19797993377569384
45-54,215,0.07165293224665883,0.2144278896422176,0.1313301831400732,ast,0.03245340361375975,0.13133018314007316,0.2088796703042714,0.07967249366273017,0.2844729454537188
55-64,293,0.10880365676674997,0.24594172850622098,0.1693868475405769,ast,0.03167278151720427,0.16938684754057687,0.24071593909499797,0.11596587945669293,0.225116701049203
65 and over,287,0.04671670193582062,0.1271556869538013,0.08039839281193316,ast,0.018341478215059038,0.08039839281210337,0.12447448539189365,0.051020040561717335,0.24807742511132055
18-24,146,7.586259784840262e-4,0.04489195735165119,0.010646282604589693,ckd,0.008231627610659405,0.010646291008965268,0.047421155723001304,0.0023206693509034387,0.7815122757770036
25-34,285,0.010128719175625422,0.1862954366902555,0.06168721068123536,ckd,0.03632159761882482,0.061687210681235366,0.18360592596427325,0.018855630539291728,0.6275122002264745
35-44,247,0.009168508427330736,0.0627535437456177,0.027620307772601493,ckd,0.011498755734530025,0.02762030777266329,0.061684426591659985,0.01212441826178948,0.4281406407152138
45-54,215,0.02910641937457208,0.08270149040002861,0.05120223145848178,ckd,0.012161518009959732,0.0512022314584818,0.08100566769900983,0.03198240695086818,0.25033711572954387
55-64,293,0.0154274165766533,0.06260441632673541,0.033486009675345804,ckd,0.010461888425961163,0.03348600967537148,0.0612831089730877,0.01805475589929091,0.32325000541372123
65 and over,287,0.06818644186765403,0.18745561557910195,0.1185580503881972,ckd,0.027229278033727107,0.11855805038819721,0.1831030328865688,0.0746854184335591,0.260562169641819
18-24,256,NA,NA,0,hbv,0,3.647203823192263e-10,4.4059078519933006e-10,3.0191497812911355e-10,0.09642296355849901
25-34,285,NA,NA,0,hbv,0,3.698582876172602e-10,4.5317088938196103e-10,3.0186218074077836e-10,0.10364954124308853
35-44,247,4.56028451363442e-5,0.012583199505021514,0.002179911473891714,hbv,0.0021398308385112354,0.00217991147389171,0.014800864700408293,3.175939425520173e-4,0.9837581464722677
