Gender,n,p.lwr,p.upr,p,health_outcome,se,pred,pred.upr,pred.lwr,pred.se
Men,585,0.07571279795789332,0.14426080263014596,0.10644814881421104,cvd,0.01594898770985821,0.10644814881421247,0.1419845139263997,0.07898716702396803,0.1676776780040649
Women,888,0.061519724593768976,0.10647582261084387,0.081942897027908565,cvd,0.010522665578471613,0.08194289714614285,0.10507325798646408,0.06354281529056273,0.1398765005594502
Men,585,0.027058901054412058,0.06999549911185965,0.04505234271387174,str,0.009792132055302912,0.04505234276464601,0.06864223519231515,0.029314290196448458,0.22760422232521718
Women,888,0.04556209877809591,0.11566433351998595,0.07525124741449017,str,0.01602202425255857,0.07525124741449019,0.11330393441276196,0.049268309364171085,0.23023954967433607
Men,728,0.2947870005863857,0.38842696127288745,0.3404521410724721,htn,0.02222324180569608,0.3404521410727652,0.38525509569776845,0.2983309813858941,0.09897033200392004
Women,1032,0.2765957251450355,0.39472100480441474,0.3337315384760139,htn,0.027887901891385656,0.33373153847634246,0.39042272282755436,0.2814711480108941,0.1254207332340662
Men,1821,0.05248678026909012,0.0840351110387445,0.06699389980363964,dm,0.007423003759263894,0.06699389980374722,0.08309263765771553,0.053831086097834956,0.11875719682349521
Women,2056,0.06055328513546231,0.1077974439130478,0.08190863434657619,dm,0.011038310212383794,0.08190863434657623,0.10631037499455033,0.06271484710082935,0.1467868013858909
Men,1821,0.09506073775824565,0.13583419335423985,0.11427592273933164,ast,0.00966098251390777,0.1142759227468451,0.13461980619258018,0.09666301848854053,0.09544828043640621
Women,2056,0.11654394219938227,0.17208200242179938,0.14264943772820182,ast,0.01312571929773584,0.1426494377282059,0.170355952175114,0.11880380662103206,0.10732344658736154
Men,585,0.020054658938726346,0.1183465602771242,0.05537781782171088,ckd,0.021363414451140445,0.05537781782181607,0.11545696464346113,0.02565471051813568,0.40839149393257945
Women,888,0.030611455150224568,0.0635283101986811,0.04499494011904019,ckd,0.007614289478069214,0.04499494013642317,0.06251091548200965,0.03221838303858158,0.17719849653695224
Men,1373,0.0036488674017813166,0.018527471862057165,0.009043622868541835,hbv,0.0032358944440884474,0.009043622868541823,0.018183019506156015,0.004477046706793402,0.3610749552803364
Women,1666,0.0013148421877911206,0.007495124726575764,0.003497976598331579,hbv,0.0013321574831322703,0.0034979765984418988,0.007369414364812765,0.001656959528142463,0.382173424691142
Men,1373,0.011596468619444005,0.07738100456028951,0.034443046339276945,hcv,0.014130693711612737,0.034443046339277125,0.07581511672071377,0.015274449932833143,0.42489735849468957
Women,1666,0.010330592214066106,0.03806850269922013,0.02110800049356956,hcv,0.006172571584562111,0.02110800049758479,0.0372815717292083,0.011864412721036548,0.29873372927124936
Men,1976,0.10390830129720217,0.1734375719111968,0.13592474259721032,dep,0.016307518390222903,0.1359247425972112,0.1711608183371286,0.10700605053334095,0.13884741169490303
Women,2203,0.1859296926139387,0.27242382829371903,0.22702863551674762,dep,0.02042775113877085,0.2270286389159143,0.26952897676432497,0.18949144851542477,0.11640630652226816
