Gender,n,p.lwr,p.upr,p,health_outcome,se,pred,pred.upr,pred.lwr,pred.se
Male,585,0.07574943938815855,0.14420554051359313,0.10644814881421104,cvd,0.01594898770985821,0.106448148814211,0.1419845139263983,0.07898716702396659,0.167677678004067
Female,888,0.061533727589480565,0.10645567677034862,0.081942897027908565,cvd,0.010522665578471613,0.08194289702790881,0.1050732578746581,0.06354281517427002,0.1398765007546888
Male,585,0.027079118098618,0.06995684793159052,0.04505234271387174,str,0.009792132055302912,0.045052343212474415,0.06864223560567412,0.029314290604848747,0.2276042203132522
Female,888,0.04558123110083694,0.11562904304336752,0.07525124741449017,str,0.01602202425255857,0.07525124741449118,0.1133039344127629,0.049268309364171974,0.23023954967433355
Male,638,0.30882360325090913,0.4232324040783555,0.364613303948481,htn,0.0270979198781202,0.36461330394848135,0.4191790731566436,0.31331887584935425,0.1169675319040648
Female,945,0.2900750050193438,0.4196102697468377,0.35284742820512466,htn,0.03056462379112018,0.3528474282051266,0.4147893906631199,0.295484954989611,0.13385217015692785
Male,638,0.10625516520716018,0.1700914840186165,0.1358500455975192,dm,0.015030731125672223,0.13585004559754257,0.16808657469755253,0.10898606140369026,0.12803573714148786
Female,945,0.0918063550904044,0.17145913881566133,0.12777013747194343,dm,0.01856807120080665,0.12777013747194363,0.1687844804322826,0.09557623504126166,0.16661207731674144
Male,638,0.06092292914984282,0.11687661001263605,0.0858966153499697,ast,0.013029254297663174,0.08589661534997013,0.11511103447330476,0.06356402378875416,0.16593889438026305
Female,945,0.12687899096698366,0.2228350313148525,0.17094588705576338,ast,0.02244723859926929,0.17094588705576333,0.21951341084556028,0.13131603160440028,0.15838767672554765
Male,585,0.02008797424370981,0.11823948089193537,0.05537781782171088,ckd,0.021363414451140445,0.0553778178264259,0.11545696464578835,0.025654710521971626,0.4083914938992441
Female,888,0.03062100156777085,0.063512528456519,0.04499494011904019,ckd,0.007614289478069214,0.044994940385213275,0.06251091570913271,0.03221838327879519,0.1771984955603009
Male,638,0.006392293434189263,0.03110761259306971,0.015454794868180004,hbv,0.005402972702085804,0.015454794868180011,0.0305221720889118,0.007765899398135071,0.35508625931025173
Female,945,0.0018253519006001322,0.01077992752368262,0.004967560610552619,hbv,0.001927427524004154,0.00496756061055309,0.010606990782343454,0.0023194233961871653,0.3899398696528548
Male,638,0.018897895516390994,0.13376878321138486,0.05886028459461527,hcv,0.024778258811561846,0.058860284594615266,0.13064789305913288,0.02536710347430091,0.44729529150110175
Female,945,0.01477961127101818,0.05366656950795723,0.029975978647025232,hcv,0.008675342910951702,0.029975978647042132,0.0525423445227514,0.016928452198104776,0.29835326189617767
Male,638,0.20900466221267855,0.3753620376906458,0.28690966701985937,dep,0.03886916242360774,0.28690966702242,0.36863427968288076,0.2170737854539281,0.18998331085190906
Female,945,0.3168862993259822,0.43704417934205786,0.3755488513266688,dep,0.02842192032832836,0.3755488513274063,0.4326752058192538,0.32168816740700906,0.12119606264403462
