Gender,Age.Group,Race,n,p.lwr,p.upr,p,health_outcome,se,pred,pred.upr,pred.lwr,pred.se
Men,18-24,NH Black,18,1.2664739939838057e-4,0.5341648673906934,0.0827892579681264,cvd,0.07906043253045558,0.0124369623547369,0.08433565726146032,0.001719003884532738,1.0151831201547463
Women,18-24,NH Black,35,NA,NA,0,cvd,0,6.861488728290746e-9,1.0004555467531606e-8,4.705859013402852e-9,0.19240971168649024
Men,25-34,NH Black,24,4.420846500685186e-4,0.6670334971939076,0.1292125248467995,cvd,0.11398784599678984,0.02366383863956317,0.19046782965714246,0.0024905835980188694,1.1596568504910951
Women,25-34,NH Black,90,2.0454943548984873e-5,0.01579336267314646,0.002326630462707554,cvd,0.002355347403286303,0.020836289195785618,0.0771842207766359,0.005384826345932354,0.6983639184332361
Men,35-44,NH Black,26,NA,NA,0,cvd,0,0.11155352270504122,0.2927877360401391,0.03668343283717363,0.6087290170448391
Women,35-44,NH Black,52,0.016608175268163834,0.16915044126015655,0.06645721275539344,cvd,0.030624338534209924,0.041975621004698,0.0886354973259831,0.019356931994417237,0.40683080337478944
Men,45-54,NH Black,31,9.369131741504707e-4,0.18584873523946888,0.036357411576870224,cvd,0.02617764912047088,0.11044784530975672,0.1975217456223331,0.058939642875071876,0.3491485805453556
Women,45-54,NH Black,45,0.0802868682865527,0.4093942133564722,0.21188323178547927,cvd,0.06654597267482028,0.10934295364892817,0.17690330107275126,0.06553009933001881,0.28571938810474135
Men,55-64,NH Black,54,0.048761419462078105,0.34172900731851186,0.15703242981257493,cvd,0.05783719918413055,0.1612106556895966,0.23782175393203137,0.1058513444734658,0.24724366471129763
Women,55-64,NH Black,57,0.05705326093802767,0.25419559070332265,0.1343281439252197,cvd,0.037865436093584455,0.13175692465071676,0.24578552767751527,0.06600081436007786,0.3899538565451575
Men,65 and over,NH Black,42,0.08107553253047063,0.33153679976273387,0.18280394461384242,cvd,0.03766816115477503,0.2570030669210098,0.3605826867349715,0.1750325779545477,0.24937595081115752
Women,65 and over,NH Black,57,0.05962644581089764,0.37240242893050546,0.1788386504788394,cvd,0.0529636493576354,0.24142299945040566,0.34969743138917386,0.15850178780065827,0.26761934880311317
Men,18-24,Hispanic,12,NA,NA,0,cvd,0,0.009770065978198612,0.058746473431351566,0.0015572948793897096,0.941156351266537
Women,18-24,Hispanic,26,NA,NA,0,cvd,0,5.375641622016858e-9,9.495486649683238e-9,3.0432903402238893e-9,0.29028016146659913
Men,25-34,Hispanic,17,NA,NA,0,cvd,0,0.01863495541653366,0.14268708856939064,0.0021617744100149985,1.107549141956856
Women,25-34,Hispanic,34,NA,NA,0,cvd,0,0.0163982057902151,0.06538692760834697,0.003957063503917299,0.731768010774098
Men,35-44,Hispanic,16,1.2603439646618033e-4,0.8224724600625998,0.1635141179841836,cvd,0.10599782449167647,0.08956022863347853,0.20606376593788803,0.03594302592934156,0.49500854458997195
Women,35-44,Hispanic,37,2.42351226206974e-9,0.28457452428731156,0.017549139428508748,cvd,0.01753385269839051,0.03318751777550103,0.07366542477651682,0.014600958175075843,0.4286450181600009
Men,45-54,Hispanic,14,2.454739192163548e-58,0.9899544885517475,0.033520546074589194,cvd,0.03349076623830261,0.088650789284486,0.190672401685893,0.03861272503563927,0.4513216698758149
Women,45-54,Hispanic,30,0.0071791081384884724,0.44849360105352987,0.122217722083917,cvd,0.07235353594958324,0.08774244180237259,0.206045249791999,0.03441961985795423,0.5064307185742503
Men,55-64,Hispanic,32,0.033333395172821204,0.5325487167804438,0.20504170254513004,cvd,0.07605761214810433,0.13086932720413766,0.2352497931874215,0.06864533553061915,0.3644928242715121
Women,55-64,Hispanic,44,0.004704330411529017,0.17254782648114653,0.047585765602605384,cvd,0.02882920391262489,0.10625682010165072,0.22481830545453382,0.04647221158678083,0.4549851800367599
Men,65 and over,Hispanic,31,0.027701645454552032,0.7325809972333468,0.2803069370819393,cvd,0.08600521337862417,0.2132156005367673,0.34623104744219435,0.1217829826864131,0.341844398568713
Women,65 and over,Hispanic,50,0.05810727823019638,0.3957453734213763,0.1857932766310326,cvd,0.062001618381660684,0.19957699728425143,0.31111372625552586,0.121003357653718,0.30307830140690695
Men,18-24,NH White,14,NA,NA,0,cvd,0,0.015795523207767354,0.09363053495211487,0.002487159377748573,0.9500259548582909
Women,18-24,NH White,19,NA,NA,0,cvd,0,8.74414881785713e-9,1.1240045298421464e-8,6.802476011123747e-9,0.12811363315226712
Men,25-34,NH White,24,NA,NA,0,cvd,0,0.02996219776405493,0.19337541715035703,0.003963832670981811,1.045515964940877
Women,25-34,NH White,50,0.0020637136840755345,0.19170546542013422,0.04335530042253375,cvd,0.029651712200808988,0.026402420253755724,0.09818973994849553,0.006708942898325064,0.7092170927759739
Men,35-44,NH White,30,3.9802704125925325e-4,0.7933841080417395,0.17064999021045088,cvd,0.13098320038691957,0.1379395835055754,0.33742966023890514,0.04786831777141347,0.5906944854628785
