Race,n,p.lwr,p.upr,p,health_outcome,se,pred,pred.upr,pred.lwr,pred.se
NH Black,531,0.06651937388077274,0.11256760673236355,0.08753749264830579,cvd,0.01067364280634631,0.08753749264837804,0.1108419113892035,0.06875393756667038,0.13362986621591472
Hispanic,343,0.03981386364448919,0.11878025831796757,0.07225877611858707,cvd,0.017749229763775895,0.07225877611875522,0.11572336223449593,0.044301214809560015,0.26476590299415925
NH White,370,0.07935250303087282,0.1401577981422476,0.10697475490822056,cvd,0.014111315764579996,0.10697475490822046,0.13793985134062078,0.08229718966220405,0.14771427719502292
Other,229,0.030545846623524983,0.1273311764221744,0.06787409088940101,cvd,0.02143157500468057,0.06787409089234862,0.12391344905218937,0.03613304414367671,0.3387470198265139
NH Black,531,0.05008862873720928,0.09792426216833339,0.07131636532852371,str,0.010986564047737275,0.07131636532852374,0.09608385090434651,0.052561940325458446,0.16588415250970945
Hispanic,343,0.012208861111295018,0.05860732580197714,0.029363916332683374,str,0.010089018063528622,0.02936391633289057,0.05708701327131247,0.014891331358991082,0.35397980799001244
NH White,370,0.03894902787394772,0.12142177590893499,0.0725650462795016,str,0.018487141104770576,0.07256504627950168,0.11820522837607435,0.043674178886518186,0.2747001013372813
Other,229,0.040815400615606345,0.12789626995643955,0.07631594457844576,str,0.019610313214031783,0.07631594457844576,0.12474534786393839,0.04570627331413074,0.27819274470902344
NH Black,571,0.35758292648752005,0.45100365084645133,0.4036448906845664,htn,0.021959842695983802,0.4036448906845663,0.44732157469544154,0.3614438229538092,0.09122729985162514
Hispanic,373,0.24606635132288274,0.37581108423531506,0.30814901995716587,htn,0.030309721514824573,0.30814901995719474,0.3704845614543524,0.2521014841497059,0.1421702066845427
NH White,394,0.28590449865442147,0.4296329298239756,0.3553660736686087,htn,0.033568707687501746,0.3553660736686117,0.4235228846991304,0.2926102635659782,0.14653639402285656
Other,245,0.24676777596611246,0.5156774691748038,0.3741299992686038,htn,0.06225428498485266,0.37412999926894797,0.5016370355655766,0.2619946724064915,0.26586586493132575
NH Black,571,0.10383807032534137,0.17049799312995317,0.13460976801981153,dm,0.015475758584704877,0.13460976821390724,0.1679231674127847,0.10705494324193018,0.13285055749429261
Hispanic,373,0.11150328303845539,0.19284321608840815,0.14881536472039764,dm,0.018900978813265586,0.1488153647203981,0.18977597440052266,0.11543597017618712,0.14921509049553955
NH White,394,0.0766314734720297,0.17843994756488302,0.12087712320044675,dm,0.02324847220535244,0.12087712320832347,0.1743140339234826,0.08219094188058856,0.21877652561019548
Other,245,0.07280093514449802,0.2131670220368791,0.1316894835061535,dm,0.031837362594708825,0.13168948351258508,0.20744489967438462,0.08077904021936058,0.2784267309353311
NH Black,571,0.11080742543680991,0.20505282272965197,0.153613115498829,ast,0.02172145514239765,0.15361311550180254,0.20115466092360348,0.11568059305150025,0.16706739209565194
Hispanic,373,0.08492946266641342,0.15004163748032107,0.1145401028425699,ast,0.015112867907164594,0.11454010288282189,0.14765353260346376,0.08808538267493442,0.14901171770927277
NH White,394,0.10296174885340681,0.21941013287830746,0.1547002732349402,ast,0.02673666498161458,0.15470027332653613,0.2145910834689759,0.10920054423993299,0.20445861975774157
Other,245,0.06662842699290573,0.12378168767683384,0.09230859964336871,ast,0.013284014748004282,0.09230861752179859,0.12184995566053256,0.06936357486257962,0.15854366638764789
NH Black,531,0.03944773700348349,0.0824348828240884,0.05825040304639542,ckd,0.009830190137954062,0.05825040304639541,0.0807818378352013,0.04171815662183687,0.17919568200331465
Hispanic,343,0.024919564512659056,0.04939569387215248,0.03569203566646412,ckd,0.005638961080831436,0.035692035666468024,0.04855112962328027,0.02614516986375347,0.16383701439350226
NH White,370,0.026438783939387072,0.0993475843945516,0.05497728119268897,ckd,0.016141832889081758,0.05497728119268899,0.09662086302327368,0.0306726726536295,0.3106900456165783
Other,229,0.007908371254721377,0.08519301254444289,0.03231955019504159,ckd,0.016091847294235472,0.03231955019512001,0.08387892457041066,0.012036702135800251,0.5145275429112043
NH Black,571,0.002630213321330845,0.028784279450587036,0.010746855833839424,hbv,0.0053483720197056136,0.01074685583383943,0.028296073035238713,0.0040364465271118454,0.5030750115792061
Hispanic,373,2.9088302649592506e-4,0.013498660374374194,0.0033568317457230833,hbv,0.002468983395973858,0.0033568317474723343,0.01410574931644225,7.922636310671967e-4,0.7379873223185275
NH White,394,0.0015613443879796045,0.0234873399980009,0.007930423717414347,hbv,0.004405819745073837,0.007930423717414337,0.02339622109724492,0.0026602614952881336,0.5600002250656131
Other,245,0.00818410736590764,0.04024812574087466,0.019937421014766993,hbv,0.0069823896842469615,0.019937421014767007,0.03936773819666932,0.009997316038871476,0.3573397225800588
NH Black,571,0.016080197389511875,0.05934161373630753,0.032948464859665204,hcv,0.009529729229776686,0.03294846485966516,0.05769764856286238,0.01860573405367133,0.29908577497690364
Hispanic,373,0.005178069066316991,0.04093120930357552,0.017072588658560706,hcv,0.007512215587789734,0.017072588658560713,0.040091801766323966,0.007171405230784112,0.44765889631841776
NH White,394,0.0212767484255092,0.1389623030629067,0.06293080868303658,hcv,0.02530134010941911,0.06293080868303656,0.13472665948931845,0.028150247402400658,0.42905063836403307
Other,245,0.0036561879711982,0.02627356479643761,0.011303568052549957,hcv,0.004795709032869521,0.011303568052845325,0.025825758835573025,0.0049062842649996155,0.42911560225352063
NH Black,571,0.22700838450944202,0.33147435291660743,0.2769985508432283,dep,0.024382501959983115,0.27699855084323044,0.32722182052405896,0.23182754226444105,0.12174793479256212
Hispanic,373,0.25521377957507974,0.3936228393177672,0.3215336027259432,dep,0.03230737001760085,0.3215336027263279,0.38782412077340783,0.2617296264075704,0.14809721648341387
NH White,394,0.29173378008788714,0.4934992092833468,0.3891345882364729,dep,0.04680966521379807,0.3891345882365529,0.4837569719739482,0.302186436741041,0.19692015316702374
Other,245,0.22434742747438752,0.4220299276295283,0.3171601069302201,dep,0.045910091930107304,0.3171601069389913,0.4130513576252856,0.23463135754208342,0.21198772841150826
