STATE,sex_gender,N_prison
AL,Male,10091
AL,Female,2015
AK,Male,1574
AK,Female,140
AZ,Male,11227
AZ,Female,1696
AR,Male,8423
AR,Female,1263
CA,Male,34581
CA,Female,2880
CO,Male,8240
CO,Female,1600
CT,Male,4048
CT,Female,316
DE,Male,1774
DE,Female,294
DC,Male,NA
DC,Female,NA
FL,Male,26110
FL,Female,3627
GA,Male,13886
GA,Female,1835
HI,Male,1357
HI,Female,253
ID,Male,3476
ID,Female,940
IL,Male,21805
IL,Female,1927
IN,Male,9373
IN,Female,1575
IA,Male,5384
IA,Female,861
KS,Male,4979
KS,Female,1004
KY,Male,15130
KY,Female,4348
LA,Male,14835
LA,Female,1921
ME,Male,614
ME,Female,130
MD,Male,6734
MD,Female,649
MA,Male,2057
MA,Female,225
MI,Male,10541
MI,Female,893
MN,Male,6162
MN,Female,802
MS,Male,6176
MS,Female,795
MO,Male,15260
MO,Female,3269
MT,Male,2039
MT,Female,436
NE,Male,1968
NE,Female,332
NV,Male,5635
NV,Female,1011
NH,Male,1148
NH,Female,183
NJ,Male,7554
NJ,Female,515
NM,Male,2899
NM,Female,591
NY,Male,19135
NY,Female,1390
NC,Male,14817
NC,Female,2289
ND,Male,1062
ND,Female,255
OH,Male,17591
OH,Female,2683
OK,Male,7677
OK,Female,1577
OR,Male,5058
OR,Female,797
PA,Male,15929
PA,Female,1750
RI,Male,663
RI,Female,36
SC,Male,5434
SC,Female,771
SD,Male,3672
SD,Female,860
TN,Male,11509
TN,Female,2557
TX,Male,67469
TX,Female,10650
UT,Male,3408
UT,Female,609
VT,Male,2140
VT,Female,321
VA,Male,10831
VA,Female,1769
WA,Male,21767
WA,Female,2684
WV,Male,3428
WV,Female,687
WI,Male,5345
WI,Female,470
WY,Male,819
WY,Female,180
ST,Male,482834
ST,Female,70661
US,Male,528471
US,Female,75375
FE,Male,45637
FE,Female,4714
