RV0005,raceEthnicity,ageCat1,p,p.lwr,p.upr,pred,pred.upr,pred.lwr,pred.se
Male,"Multiracial, other, or missing",45-54,0.42535244511805315,0.3761341898511971,0.4756937988766119,0.42656333884716824,0.4727262309772424,0.38164549403447906,0.09524825638370243
Female,"Multiracial, other, or missing",45-54,0.41276500936254673,0.30003508499572007,0.5326264646691347,0.4010596126824773,0.44661208152167536,0.35715468494924296,0.09524825638370243
Male,White (NH),45-54,0.4744457404871055,0.44226224648972984,0.5067883450734716,0.4773179243547732,0.523954780652062,0.4310732238896346,0.09524825638370243
Female,White (NH),45-54,0.48010120923526795,0.4344017240683199,0.5260494678050245,0.4511671627475134,0.49768180730432404,0.40549052626991633,0.09524825638370243
Male,Black (NH),45-54,0.4604510782388807,0.42299107374640876,0.49824674081125175,0.4604593621902891,0.5070469458353093,0.41455255645945066,0.09524825638370243
Female,Black (NH),45-54,0.4346151108162235,0.3722059644051476,0.4985963854975196,0.43446448930409814,0.4807655657193525,0.38927944908238055,0.09524825638370243
Male,Hispanic,45-54,0.41196704613013513,0.3703913191544271,0.45449832729676953,0.4123242024617989,0.45817736432750356,0.36794367465003547,0.09524825638370243
Female,Hispanic,45-54,0.3944884859230786,0.2714370344365093,0.5281834064628175,0.38709712161375115,0.43220811968125045,0.34384320634702653,0.09524825638370243
Male,"Multiracial, other, or missing",55+,0.23486397538876272,0.18930012946330202,0.2854570172339139,0.23331246157598176,0.2683485404421594,0.20159038968795687,0.09524825638370243
Female,"Multiracial, other, or missing",55+,0.1865044123184532,0.07630701946343733,0.3518837787225497,0.2150303087684403,0.24820979506532398,0.18519352524499208,0.09524825638370243
Male,White (NH),55+,0.2938987909926684,0.258129272239552,0.33166274919447025,0.291780500942749,0.33179690544060886,0.25475031255113334,0.09524825638370243
Female,White (NH),55+,0.23330432921892502,0.16083810307512886,0.319427090898193,0.27053347525607496,0.30890692710976053,0.2353038716846123,0.09524825638370243
Male,Black (NH),55+,0.1720681114942754,0.14124259208938772,0.20651564787485233,0.1715354463389364,0.19971109913231408,0.14660666921143495,0.09524825638370243
Female,Black (NH),55+,0.14234674977613812,0.07217988356847048,0.24262780657582028,0.1571021565943374,0.18343197318452786,0.13393183425480887,0.09524825638370243
Male,Hispanic,55+,0.2535179088806109,0.18735691933675705,0.3292846725103665,0.2505782340777366,0.28723571285910626,0.2171736046377895,0.09524825638370243
Female,Hispanic,55+,0.12301428304341114,0.008931361786218164,0.43138079421835085,0.2313514037791304,0.26619524123381905,0.1998264707456469,0.09524825638370243
