state,"Male; 18-24; White, non-Hispanic","Male; 18-24; Black, non-Hispanic","Male; 18-24; Hispanic, any race","Male; 18-24; Other race(s), non-Hispanic",Male; 18-24; Missing race,"Male; 25-34; White, non-Hispanic","Male; 25-34; Black, non-Hispanic","Male; 25-34; Hispanic, any race","Male; 25-34; Other race(s), non-Hispanic",Male; 25-34; Missing race,"Male; 35-44; White, non-Hispanic","Male; 35-44; Black, non-Hispanic","Male; 35-44; Hispanic, any race","Male; 35-44; Other race(s), non-Hispanic",Male; 35-44; Missing race,"Male; 45-54; White, non-Hispanic","Male; 45-54; Black, non-Hispanic","Male; 45-54; Hispanic, any race","Male; 45-54; Other race(s), non-Hispanic",Male; 45-54; Missing race,"Male; 55+; White, non-Hispanic","Male; 55+; Black, non-Hispanic","Male; 55+; Hispanic, any race","Male; 55+; Other race(s), non-Hispanic",Male; 55+; Missing race,"Male; NA age; White, non-Hispanic","Male; NA age; Black, non-Hispanic","Male; NA age; Hispanic, any race","Male; NA age; Other race(s), non-Hispanic",Male; NA age; Missing race,"Female; 18-24; White, non-Hispanic","Female; 18-24; Black, non-Hispanic","Female; 18-24; Hispanic, any race","Female; 18-24; Other race(s), non-Hispanic",Female; 18-24; Missing race,"Female; 25-34; White, non-Hispanic","Female; 25-34; Black, non-Hispanic","Female; 25-34; Hispanic, any race","Female; 25-34; Other race(s), non-Hispanic",Female; 25-34; Missing race,"Female; 35-44; White, non-Hispanic","Female; 35-44; Black, non-Hispanic","Female; 35-44; Hispanic, any race","Female; 35-44; Other race(s), non-Hispanic",Female; 35-44; Missing race,"Female; 45-54; White, non-Hispanic","Female; 45-54; Black, non-Hispanic","Female; 45-54; Hispanic, any race","Female; 45-54; Other race(s), non-Hispanic",Female; 45-54; Missing race,"Female; 55+; White, non-Hispanic","Female; 55+; Black, non-Hispanic","Female; 55+; Hispanic, any race","Female; 55+; Other race(s), non-Hispanic",Female; 55+; Missing race,"Female; NA age; White, non-Hispanic","Female; NA age; Black, non-Hispanic","Female; NA age; Hispanic, any race","Female; NA age; Other race(s), non-Hispanic",Female; NA age; Missing race,RELYR
Alabama,605,0,0,0,939,2112,1,0,0,2094,1767,1,0,0,1589,1010,0,0,0,970,388,0,0,0,504,0,0,0,0,0,120,0,0,0,66,638,0,0,0,187,478,0,0,0,152,222,1,0,0,71,49,0,0,0,29,0,0,0,0,0,2016
Alaska,506,115,53,580,21,1266,255,74,1310,21,748,140,55,700,10,588,91,22,457,9,344,51,6,186,4,36,8,5,23,0,139,26,7,185,8,396,34,16,428,11,179,13,13,214,6,132,12,7,130,4,73,3,2,29,2,54,3,3,50,2,2016
Arizona,606,305,1087,149,0,2159,713,2636,547,2,1563,499,1646,370,0,1277,366,769,181,0,659,222,292,75,0,0,0,0,0,0,149,18,89,34,0,528,73,348,167,0,395,57,188,87,4,255,31,89,54,0,89,12,27,13,0,0,0,0,0,0,2016
Arkansas,1373,902,8,150,0,5882,3402,34,373,0,4507,2267,36,169,0,2552,1265,13,53,0,901,527,7,23,0,0,0,0,0,0,272,59,2,8,0,1541,259,3,34,0,1216,211,3,27,0,551,129,0,8,0,100,32,0,1,0,0,0,0,0,0,2016
California,682,1369,2833,276,24,2617,2673,5859,766,77,2167,1709,3741,534,59,1783,1444,1617,316,30,1124,920,713,167,18,0,1,0,0,0,71,80,130,10,0,349,193,391,62,0,233,129,244,49,0,152,114,89,30,0,84,49,29,7,0,0,0,0,0,0,2016
Colorado,350,120,272,22,0,1389,521,1051,130,0,1011,345,607,102,0,671,266,345,63,0,350,113,116,23,0,0,0,0,0,0,60,14,28,4,0,244,65,160,28,0,199,42,114,11,0,98,25,34,7,0,26,8,10,1,0,0,0,0,0,0,2016
Connecticut,384,567,7,397,0,1223,1052,13,825,0,773,687,6,538,0,758,456,6,290,0,395,157,0,114,0,0,0,0,0,0,75,39,1,23,0,276,116,2,91,0,192,74,3,46,0,170,63,3,22,0,68,10,0,7,0,0,0,0,0,0,2016
Delaware,533,1056,88,1,0,1464,1353,91,1,0,818,688,72,3,1,445,517,34,0,0,190,176,14,0,0,0,0,0,0,0,224,132,14,0,0,562,219,16,1,2,273,95,10,0,0,103,51,4,0,1,28,14,0,0,0,0,0,0,0,0,2016
District of Columbia,1,354,9,0,0,6,585,20,2,0,7,374,9,0,0,5,339,9,2,0,3,194,1,1,0,0,0,0,0,0,1,8,1,0,0,2,34,0,0,0,0,31,0,0,0,0,34,0,0,0,0,5,0,0,0,0,0,0,0,0,2015
Florida,1110,2126,447,27,79,3983,4394,1126,52,119,3063,3011,862,36,58,2300,1960,570,22,39,1320,1086,315,7,23,0,0,0,0,0,176,120,21,7,5,1029,344,59,7,14,748,245,45,5,7,421,184,22,1,0,135,61,10,0,4,0,0,0,0,0,2016
