Gender,Race,Age,Month,p.recidivism,recidivism_type
Female,Black,24 or younger,1,0.03855769778792456,rearrested
Female,Black,25-39,1,0.033908686201372495,rearrested
Female,Black,40-54,1,0.028660114897461574,rearrested
Female,Black,55-64,1,0.0206123195241627,rearrested
Female,Black,65 or older,1,0.011482911486116023,rearrested
Female,Hispanic,24 or younger,1,0.03637054244063623,rearrested
Female,Hispanic,25-39,1,0.031921402406465994,rearrested
Female,Hispanic,40-54,1,0.02696418381812728,rearrested
Female,Hispanic,55-64,1,0.019385121754489826,rearrested
Female,Hispanic,65 or older,1,0.010820578941917909,rearrested
Female,Other or Unknown,24 or younger,1,0.03588477794867119,rearrested
Female,Other or Unknown,25-39,1,0.031559017559541234,rearrested
Female,Other or Unknown,40-54,1,0.026674492426235347,rearrested
Female,Other or Unknown,55-64,1,0.019184208359326563,rearrested
Female,Other or Unknown,65 or older,1,0.010686031523374192,rearrested
Female,White,24 or younger,1,0.03584621255577347,rearrested
Female,White,25-39,1,0.031530909042316396,rearrested
Female,White,40-54,1,0.026651894048497448,rearrested
Female,White,55-64,1,0.019168114475140236,rearrested
Female,White,65 or older,1,0.010679774394610044,rearrested
Male,Black,24 or younger,1,0.04603188056145413,rearrested
Male,Black,25-39,1,0.04041184642263759,rearrested
Male,Black,40-54,1,0.034139105878763065,rearrested
Male,Black,55-64,1,0.02454525739399225,rearrested
Male,Black,65 or older,1,0.013690963499569355,rearrested
Male,Hispanic,24 or younger,1,0.043504904958039804,rearrested
Male,Hispanic,25-39,1,0.038114926046318165,rearrested
Male,Hispanic,40-54,1,0.03217868656320085,rearrested
Male,Hispanic,55-64,1,0.023126462171489694,rearrested
Male,Hispanic,65 or older,1,0.012926512508392518,rearrested
Male,Other or Unknown,24 or younger,1,0.042840296539406075,rearrested
Male,Other or Unknown,25-39,1,0.037611240589991324,rearrested
Male,Other or Unknown,40-54,1,0.03177367080081726,rearrested
Male,Other or Unknown,55-64,1,0.022844530070916535,rearrested
Male,Other or Unknown,65 or older,1,0.012740701630623207,rearrested
Male,White,24 or younger,1,0.04278447883399147,rearrested
Male,White,25-39,1,0.037568862601043335,rearrested
Male,White,40-54,1,0.03173917405564014,rearrested
Male,White,55-64,1,0.022819842155514723,rearrested
Male,White,65 or older,1,0.012730295575419775,rearrested
Female,Black,24 or younger,2,0.03667807391118416,rearrested
Female,Black,25-39,2,0.03225569393602625,rearrested
Female,Black,40-54,2,0.027262981786255355,rearrested
Female,Black,55-64,2,0.019607503102141984,rearrested
Female,Black,65 or older,2,0.010923138578446213,rearrested
Female,Hispanic,24 or younger,2,0.034597538762941825,rearrested
Female,Hispanic,25-39,2,0.03036528693317592,rearrested
Female,Hispanic,40-54,2,0.02564972453686693,rearrested
Female,Hispanic,55-64,2,0.01844012919026391,rearrested
Female,Hispanic,65 or older,2,0.010293093648287309,rearrested
Female,Other or Unknown,24 or younger,2,0.034135454485044334,rearrested
Female,Other or Unknown,25-39,2,0.03002056774706408,rearrested
Female,Other or Unknown,40-54,2,0.025374155120308717,rearrested
Female,Other or Unknown,55-64,2,0.018249009990199714,rearrested
Female,Other or Unknown,65 or older,2,0.010165105193451424,rearrested
Female,White,24 or younger,2,0.03409876909114721,rearrested
Female,White,25-39,2,0.02999382947347791,rearrested
Female,White,40-54,2,0.025352658376039842,rearrested
Female,White,55-64,2,0.01823370065619977,rearrested
Female,White,65 or older,2,0.010159153089346416,rearrested
Male,Black,24 or younger,2,0.04378790265928622,rearrested
Male,Black,25-39,2,0.0384418358722944,rearrested
Male,Black,40-54,2,0.032474881035951315,rearrested
Male,Black,55-64,2,0.02334871676772759,rearrested
Male,Black,65 or older,2,0.013023551715003962,rearrested
Male,Hispanic,24 or younger,2,0.041384112929319074,rearrested
Male,Hispanic,25-39,2,0.036256886558304675,rearrested
Male,Hispanic,40-54,2,0.0306100289135919,rearrested
Male,Hispanic,55-64,2,0.021999085461366738,rearrested
Male,Hispanic,65 or older,2,0.012296366442945444,rearrested
Male,Other or Unknown,24 or younger,2,0.040751903069832146,rearrested
Male,Other or Unknown,25-39,2,0.03577775493336285,rearrested
Male,Other or Unknown,40-54,2,0.03022475699851008,rearrested
Male,Other or Unknown,55-64,2,0.02173089708353272,rearrested
Male,Other or Unknown,65 or older,2,0.012119613537577241,rearrested
Male,White,24 or younger,2,0.04069880638506611,rearrested
Male,White,25-39,2,0.0357374428011554,rearrested
Male,White,40-54,2,0.030191941912498955,rearrested
Male,White,55-64,2,0.021707412663098665,rearrested
Male,White,65 or older,2,0.012109714760322056,rearrested
Female,Black,24 or younger,3,0.0348900785838827,rearrested
Female,Black,25-39,3,0.03068328230459391,rearrested
Female,Black,40-54,3,0.02593395659915944,rearrested
Female,Black,55-64,3,0.018651669815705735,rearrested
Female,Black,65 or older,3,0.010390653672477016,rearrested
Female,Hispanic,24 or younger,3,0.0329109660766534,rearrested
Female,Hispanic,25-39,3,0.028885029510712652,rearrested
Female,Hispanic,40-54,3,0.024399342967498225,rearrested
Female,Hispanic,55-64,3,0.017541203447683586,rearrested
Female,Hispanic,65 or older,3,0.009791322388673751,rearrested
Female,Other or Unknown,24 or younger,3,0.03247140764162598,rearrested
Female,Other or Unknown,25-39,3,0.02855711481372125,rearrested
Female,Other or Unknown,40-54,3,0.024137207103376447,rearrested
Female,Other or Unknown,55-64,3,0.017359400991936443,rearrested
Female,Other or Unknown,65 or older,3,0.009669573158933197,rearrested
Female,White,24 or younger,3,0.032436510599893345,rearrested
Female,White,25-39,3,0.028531679986666867,rearrested
Female,White,40-54,3,0.0241167582897704,rearrested
Female,White,55-64,3,0.017344837962601306,rearrested
Female,White,65 or older,3,0.009663911210040623,rearrested
Male,Black,24 or younger,3,0.041653314961559225,rearrested
Male,Black,25-39,3,0.03656786007195682,rearrested
Male,Black,40-54,3,0.03089178439659245,rearrested
Male,Black,55-64,3,0.02221050551431572,rearrested
Male,Black,65 or older,3,0.012388675149029338,rearrested
Male,Hispanic,24 or younger,3,0.03936670599782872,rearrested
Male,Hispanic,25-39,3,0.03448942341654519,rearrested
Male,Hispanic,40-54,3,0.029117840725122822,rearrested
Male,Hispanic,55-64,3,0.020926666497789834,rearrested
Male,Hispanic,65 or older,3,0.011696938954031724,rearrested
Male,Other or Unknown,24 or younger,3,0.03876531532141486,rearrested
Male,Other or Unknown,25-39,3,0.034033648664394255,rearrested
Male,Other or Unknown,40-54,3,0.02875135017750252,rearrested
Male,Other or Unknown,55-64,3,0.020671551858984887,rearrested
Male,Other or Unknown,65 or older,3,0.01152880245991921,rearrested
Male,White,24 or younger,3,0.038714807012049525,rearrested
Male,White,25-39,3,0.033995301681834386,rearrested
Male,White,40-54,3,0.028720134772559573,rearrested
Male,White,55-64,3,0.020649212265133117,rearrested
Male,White,65 or older,3,0.01151938623165286,rearrested
Female,Black,24 or younger,4,0.03318924506606429,rearrested
Female,Black,25-39,4,0.029187523134694953,rearrested
Female,Black,40-54,4,0.024669719187728836,rearrested
Female,Black,55-64,4,0.017742431818159675,rearrested
Female,Black,65 or older,4,0.00988412652334197,rearrested
Female,Hispanic,24 or younger,4,0.03130661101415679,rearrested
Female,Hispanic,25-39,4,0.027476932184795803,rearrested
Female,Hispanic,40-54,4,0.023209915427743755,rearrested
Female,Hispanic,55-64,4,0.016686098845526742,rearrested
Female,Hispanic,65 or older,4,0.00931401164652727,rearrested
Female,Other or Unknown,24 or younger,4,0.030888480324485035,rearrested
Female,Other or Unknown,25-39,4,0.027165002785925395,rearrested
Female,Other or Unknown,40-54,4,0.02296055825263664,rearrested
Female,Other or Unknown,55-64,4,0.016513158958249112,rearrested
Female,Other or Unknown,65 or older,4,0.009198197489997098,rearrested
Female,White,24 or younger,4,0.030855284455712183,rearrested
Female,White,25-39,4,0.0271408078645442,rearrested
Female,White,40-54,4,0.022941106284810036,rearrested
Female,White,55-64,4,0.016499305852463005,rearrested
Female,White,65 or older,4,0.009192811551731142,rearrested
Male,Black,24 or younger,4,0.039622784877067135,rearrested
Male,Black,25-39,4,0.03478523748669247,rearrested
Male,Black,40-54,4,0.029385861095198237,rearrested
Male,Black,55-64,4,0.021127780173482314,rearrested
Male,Black,65 or older,4,0.011784747763650311,rearrested
Male,Hispanic,24 or younger,4,0.03744764431138872,rearrested
Male,Hispanic,25-39,4,0.0328081211742456,rearrested
Male,Hispanic,40-54,4,0.02769839423827357,rearrested
Male,Hispanic,55-64,4,0.019906526181680304,rearrested
Male,Hispanic,65 or older,4,0.01112673256194629,rearrested
Male,Other or Unknown,24 or younger,4,0.03687557043394077,rearrested
Male,Other or Unknown,25-39,4,0.03237456468603952,rearrested
Male,Other or Unknown,40-54,4,0.027349769497571917,rearrested
Male,Other or Unknown,55-64,4,0.01966384795879005,rearrested
Male,Other or Unknown,65 or older,4,0.010966792443318217,rearrested
Male,White,24 or younger,4,0.03682752432096431,rearrested
Male,White,25-39,4,0.03233808705533818,rearrested
Male,White,40-54,4,0.027320075791895757,rearrested
Male,White,55-64,4,0.019642597383121664,rearrested
Male,White,65 or older,4,0.010957835240577083,rearrested
Female,Black,24 or younger,5,0.031571324363944456,rearrested
Female,Black,25-39,5,0.02776467974584337,rearrested
Female,Black,40-54,5,0.023467111255253723,rearrested
Female,Black,55-64,5,0.016877517666379172,rearrested
Female,Black,65 or older,5,0.009402291733407621,rearrested
Female,Hispanic,24 or younger,5,0.02978046560252741,rearrested
Female,Hispanic,25-39,5,0.026137477270288593,rearrested
Female,Hispanic,40-54,5,0.022078470509661132,rearrested
Female,Hispanic,55-64,5,0.01587267917580971,rearrested
Female,Hispanic,65 or older,5,0.008859969012152618,rearrested
Female,Other or Unknown,24 or younger,5,0.029382718091131178,rearrested
Female,Other or Unknown,25-39,5,0.025840753912743555,rearrested
Female,Other or Unknown,40-54,5,0.021841269083653612,rearrested
Female,Other or Unknown,55-64,5,0.01570816982147406,rearrested
Female,Other or Unknown,65 or older,5,0.008749800603848288,rearrested
Female,White,24 or younger,5,0.02935114046595517,rearrested
