Gender,Race,Age,pPopulation,Month,ReincarcRate
Female,Black,24 or younger,0.003520686690908717,1,2.7664526131638545
Female,Black,25-39,0.013238326824741532,1,2.3457283261458786
Female,Black,40-54,0.009298649334112076,1,1.8984979351897335
Female,Black,55-64,9.2593552604127e-4,1,1.207833362746819
Female,Black,65 or older,3.0864517534708995e-4,1,0.6448877311478878
Female,Hispanic,24 or younger,0.0021280382118107426,1,2.5158015567630048
Female,Hispanic,25-39,0.008429528267592865,1,2.1320369585758145
Female,Hispanic,40-54,0.004107576089012204,1,1.7262205443074354
Female,Hispanic,55-64,2.817195878396454e-4,1,1.0986948421484106
Female,Hispanic,65 or older,9.39065292798818e-5,1,0.5850290946014723
Female,Other or Unknown,24 or younger,0.0014112463357541167,1,2.215397384823783
Female,Other or Unknown,25-39,0.005717895036305107,1,1.8805721521524483
Female,Other or Unknown,40-54,0.0031900660284027637,1,1.5209276341711624
Female,Other or Unknown,55-64,2.8122211985828077e-4,1,0.966707745720641
Female,Other or Unknown,65 or older,9.374070661942692e-5,1,0.518897731496884
Female,White,24 or younger,0.007581333846086383,1,2.669910160528172
Female,White,25-39,0.033221658377548834,1,2.2630803442371885
Female,White,40-54,0.01917311562577993,1,1.8320378980690666
Female,White,55-64,0.0016536416776967897,1,1.1658632741066492
Female,White,65 or older,5.512138925655966e-4,1,0.6214838367716851
Male,Black,24 or younger,0.05582261454281714,1,3.9485612702007633
Male,Black,25-39,0.1375583598940358,1,3.3465290479085468
Male,Black,40-54,0.08729252551313386,1,2.7094124791830425
Male,Black,55-64,0.014220172252793128,1,1.7243215520078476
Male,Black,65 or older,0.004740057417597709,1,0.9185693822469901
Male,Hispanic,24 or younger,0.03342290771111982,1,3.5935652461093266
Male,Hispanic,25-39,0.09002947168093134,1,3.043957676267857
Male,Hispanic,40-54,0.04318383507533963,1,2.4654205449799313
Male,Hispanic,55-64,0.005667176416127085,1,1.5697250492579327
Male,Hispanic,65 or older,0.0018890588053756953,1,0.8339062209092936
Male,Other or Unknown,24 or younger,0.01620263741779368,1,3.1574044997439765
Male,Other or Unknown,25-39,0.0439632632621121,1,2.6790786875601906
Male,Other or Unknown,40-54,0.025923011193533557,1,2.167432151414788
Male,Other or Unknown,55-64,0.003937600163757533,1,1.3780488453515087
Male,Other or Unknown,65 or older,0.001312533387919178,1,0.7381187578279313
Male,White,24 or younger,0.04481268946494619,1,3.8125668261400496
Male,White,25-39,0.1510028625571967,1,3.2301126414923926
Male,White,40-54,0.10091908590102662,1,2.6157858136511396
Male,White,55-64,0.01716899359435498,1,1.6651959759094246
Male,White,65 or older,0.005722997864784993,1,0.8856206100135814
Female,Black,24 or younger,0.003520686690908717,2,2.619759264988434
Female,Black,25-39,0.013238326824741532,2,2.2213442176182685
Female,Black,40-54,0.009298649334112076,2,1.797828573534339
Female,Black,55-64,9.2593552604127e-4,2,1.1437870388820215
Female,Black,65 or older,3.0864517534708995e-4,2,0.6106920467435402
Female,Hispanic,24 or younger,0.0021280382118107426,2,2.3823991800331776
Female,Hispanic,25-39,0.008429528267592865,2,2.0189840046235172
Female,Hispanic,40-54,0.004107576089012204,2,1.6346863282038555
Female,Hispanic,55-64,2.817195878396454e-4,2,1.0404356750653023
Female,Hispanic,65 or older,9.39065292798818e-5,2,0.554007461966682
Female,Other or Unknown,24 or younger,0.0014112463357541167,2,2.097924178027299
Female,Other or Unknown,25-39,0.005717895036305107,2,1.7808533193873346
Female,Other or Unknown,40-54,0.0031900660284027637,2,1.4402792377636315
Female,Other or Unknown,55-64,2.8122211985828077e-4,2,0.9154472993092012
Female,Other or Unknown,65 or older,9.374070661942692e-5,2,0.49138276694202226
Female,White,24 or younger,0.007581333846086383,2,2.528336052621248
Female,White,25-39,0.033221658377548834,2,2.1430787106265305
Female,White,40-54,0.01917311562577993,2,1.734892632694484
Female,White,55-64,0.0016536416776967897,2,1.1040424475435404
Female,White,65 or older,5.512138925655966e-4,2,0.5885291624645475
Male,Black,24 or younger,0.05582261454281714,2,3.7391856711229585
Male,Black,25-39,0.1375583598940358,2,3.169076685822875
Male,Black,40-54,0.08729252551313386,2,2.5657437294389145
Male,Black,55-64,0.014220172252793128,2,1.632888031479988
Male,Black,65 or older,0.004740057417597709,2,0.8698615108119058
Male,Hispanic,24 or younger,0.03342290771111982,2,3.4030135933066683
Male,Hispanic,25-39,0.09002947168093134,2,2.882549401601865
Male,Hispanic,40-54,0.04318383507533963,2,2.334689661435188
Male,Hispanic,55-64,0.005667176416127085,2,1.486489131138545
Male,Hispanic,65 or older,0.0018890588053756953,2,0.7896876808817473
Male,Other or Unknown,24 or younger,0.01620263741779368,2,2.9899806171126104
Male,Other or Unknown,25-39,0.0439632632621121,2,2.5370184112216214
Male,Other or Unknown,40-54,0.025923011193533557,2,2.0525023392354034
Male,Other or Unknown,55-64,0.003937600163757533,2,1.3049767102598127
Male,Other or Unknown,65 or older,0.001312533387919178,2,0.6989794241478109
Male,White,24 or younger,0.04481268946494619,2,3.610402440526591
Male,White,25-39,0.1510028625571967,2,3.05883335186727
Male,White,40-54,0.10091908590102662,2,2.477081692247299
Male,White,55-64,0.01716899359435498,2,1.5768976360383409
Male,White,65 or older,0.005722997864784993,2,0.8386598734089253
Female,Black,24 or younger,0.003520686690908717,3,2.480844448169929
Female,Black,25-39,0.013238326824741532,3,2.103555675287205
Female,Black,40-54,0.009298649334112076,3,1.70249728477766
Female,Black,55-64,9.2593552604127e-4,3,1.0831368222345854
Female,Black,65 or older,3.0864517534708995e-4,3,0.578309615678344
Female,Hispanic,24 or younger,0.0021280382118107426,3,2.2560705703376884
Female,Hispanic,25-39,0.008429528267592865,3,1.9119257733921045
Female,Hispanic,40-54,0.004107576089012204,3,1.5480057866468602
Female,Hispanic,55-64,2.817195878396454e-4,3,0.9852657466124403
Female,Hispanic,65 or older,9.39065292798818e-5,3,0.5246307760537013
Female,Other or Unknown,24 or younger,0.0014112463357541167,3,1.9866800813713181
Female,Other or Unknown,25-39,0.005717895036305107,3,1.6864221569711915
Female,Other or Unknown,40-54,0.0031900660284027637,3,1.3639072866628825
Female,Other or Unknown,55-64,2.8122211985828077e-4,3,0.8669049788028572
Female,Other or Unknown,65 or older,9.374070661942692e-5,3,0.46532680524745695
Female,White,24 or younger,0.007581333846086383,3,2.3942690242879965
Female,White,25-39,0.033221658377548834,3,2.0294402589974125
Female,White,40-54,0.01917311562577993,3,1.642898572212903
Female,White,55-64,0.0016536416776967897,3,1.0454997194348787
Female,White,65 or older,5.512138925655966e-4,3,0.5573219359499876
Male,Black,24 or younger,0.05582261454281714,3,3.5409123795666377
Male,Black,25-39,0.1375583598940358,3,3.0010338762493687
Male,Black,40-54,0.08729252551313386,3,2.4296931293163846
Male,Black,55-64,0.014220172252793128,3,1.546302846035793
Male,Black,65 or older,0.004740057417597709,3,0.8237364129653915
Male,Hispanic,24 or younger,0.03342290771111982,3,3.2225660933158
Male,Hispanic,25-39,0.09002947168093134,3,2.7296999289631714
Male,Hispanic,40-54,0.04318383507533963,3,2.2108908868757404
Male,Hispanic,55-64,0.005667176416127085,3,1.4076668637208856
Male,Hispanic,65 or older,0.0018890588053756953,3,0.747813864077438
Male,Other or Unknown,24 or younger,0.01620263741779368,3,2.8314345189012116
Male,Other or Unknown,25-39,0.0439632632621121,3,2.402490993924146
Male,Other or Unknown,40-54,0.025923011193533557,3,1.9436667716758407
Male,Other or Unknown,55-64,0.003937600163757533,3,1.2357792831981482
Male,Other or Unknown,65 or older,0.001312533387919178,3,0.6619154847381622
Male,White,24 or younger,0.04481268946494619,3,3.4189579821102756
Male,White,25-39,0.1510028625571967,3,2.8966362826816585
Male,White,40-54,0.10091908590102662,3,2.3457324671021693
Male,White,55-64,0.01716899359435498,3,1.4932813858052238
Male,White,65 or older,0.005722997864784993,3,0.7941892671800947
Female,Black,24 or younger,0.003520686690908717,4,2.3492956999019268
Female,Black,25-39,0.013238326824741532,4,1.9920129640139463
Female,Black,40-54,0.009298649334112076,4,1.6122210133623418
Female,Black,55-64,9.2593552604127e-4,4,1.0257026315205926
Female,Black,65 or older,3.0864517534708995e-4,4,0.5476442887530887
Female,Hispanic,24 or younger,0.0021280382118107426,4,2.1364406355583703
Female,Hispanic,25-39,0.008429528267592865,4,1.8105443899455933
Female,Hispanic,40-54,0.004107576089012204,4,1.4659215496866433
Female,Hispanic,55-64,2.817195878396454e-4,4,0.9330212474565918
Female,Hispanic,65 or older,9.39065292798818e-5,4,0.49681181225544874
Female,Other or Unknown,24 or younger,0.0014112463357541167,4,1.8813347913406757
Female,Other or Unknown,25-39,0.005717895036305107,4,1.5969982819819164
Female,Other or Unknown,40-54,0.0031900660284027637,4,1.2915850189582447
Female,Other or Unknown,55-64,2.8122211985828077e-4,4,0.8209366534155318
Female,Other or Unknown,65 or older,9.374070661942692e-5,4,0.44065248162712384
Female,White,24 or younger,0.007581333846086383,4,2.2673110066685203
Female,White,25-39,0.033221658377548834,4,1.9218275765687582
Female,White,40-54,0.01917311562577993,4,1.5557825698914658
Female,White,55-64,0.0016536416776967897,4,0.9900612660051756
Female,White,65 or older,5.512138925655966e-4,4,0.5277694974201943
Male,Black,24 or younger,0.05582261454281714,4,3.353152686853022
Male,Black,25-39,0.1375583598940358,4,2.841901670188767
Male,Black,40-54,0.08729252551313386,4,2.300856720378002
Male,Black,55-64,0.014220172252793128,4,1.4643089088547203
Male,Black,65 or older,0.004740057417597709,4,0.7800571350855116
Male,Hispanic,24 or younger,0.03342290771111982,4,3.0516869654046075
Male,Hispanic,25-39,0.09002947168093134,4,2.584955421073024
Male,Hispanic,40-54,0.04318383507533963,4,2.0936566407140416
Male,Hispanic,55-64,0.005667176416127085,4,1.333024209669186
