Gender,Age.Group,Race,counts,astFALSE,astTRUE,se.astFALSE,se.astTRUE
Men,Under 18,NH Black,107,0.2448761815385083,0.7551238184614917,0.03799262241972656,0.03799262241972656
Women,Under 18,NH Black,83,0.2278955046500368,0.7721044953499632,0.05565491436187115,0.05565491436187116
Men,18-24,NH Black,6,0.6497108385386924,0.35028916146130756,0.16509930558551536,0.16509930558551536
Women,18-24,NH Black,11,0.06071636042371175,0.9392836395762881,0.06035549581199279,0.060355495811992795
Men,25-34,NH Black,7,0.3884089733221371,0.6115910266778629,0.16421385412443348,0.16421385412443348
Women,25-34,NH Black,29,0.27539032192188145,0.7246096780781185,0.070798038008381,0.070798038008381
Men,35-44,NH Black,3,0,1,0,0
Women,35-44,NH Black,17,0.06697569775269781,0.9330243022473022,0.05789647755502184,0.05789647755502184
Men,45-54,NH Black,5,0.5988828406367341,0.40111715936326586,0.2457333513555941,0.2457333513555941
Women,45-54,NH Black,14,0.3725329367253466,0.6274670632746534,0.13478161486822948,0.13478161486822948
Men,55-64,NH Black,10,0.2981015187694251,0.701898481230575,0.18762627859796122,0.18762627859796124
Women,55-64,NH Black,13,0.3664862430013698,0.6335137569986302,0.1349838906234532,0.1349838906234532
Men,65 and over,NH Black,4,0.1676015149201758,0.8323984850798243,0.0995554326501165,0.09955543265011654
Women,65 and over,NH Black,8,0.54167090233549,0.45832909766450997,0.18967218171010805,0.18967218171010802
Men,Under 18,Hispanic,60,0.40545869777164556,0.5945413022283544,0.09005842777978008,0.09005842777978008
Women,Under 18,Hispanic,41,0.4710202316354987,0.5289797683645013,0.07964189841226309,0.07964189841226309
Men,18-24,Hispanic,6,0.9007649185918188,0.09923508140818114,0.10095911158106367,0.10095911158106366
Women,18-24,Hispanic,7,0.43346858036355485,0.5665314196364452,0.26975230519937765,0.26975230519937765
Men,25-34,Hispanic,3,0.15317853813627558,0.8468214618637244,0.07361873198833992,0.07361873198833992
Women,25-34,Hispanic,8,0.034698911311459545,0.9653010886885405,0.035238668985771666,0.035238668985771666
Men,35-44,Hispanic,3,0.5260213528894595,0.4739786471105405,0.3065130505246897,0.3065130505246897
Women,35-44,Hispanic,6,0.1363219564244079,0.8636780435755921,0.11286435071198919,0.11286435071198919
Women,45-54,Hispanic,10,0.4920061889326739,0.5079938110673261,0.19023067611040181,0.19023067611040181
Men,55-64,Hispanic,5,0.3944438087896164,0.6055561912103835,0.22614666173354425,0.22614666173354425
Women,55-64,Hispanic,12,0.2215447582735679,0.7784552417264321,0.15465635337033798,0.15465635337033798
Men,65 and over,Hispanic,2,0,1,0,0
Women,65 and over,Hispanic,8,0.418170640857794,0.581829359142206,0.13864582752915064,0.13864582752915064
Men,Under 18,NH White,42,0.12140028534433697,0.878599714655663,0.028664625666609097,0.028664625666609097
Women,Under 18,NH White,29,0.32762492355926265,0.6723750764407374,0.10113828970795634,0.10113828970795634
Men,18-24,NH White,5,0.6034220979064249,0.39657790209357513,0.2504761897360025,0.2504761897360025
Women,18-24,NH White,9,0.3178881363946712,0.6821118636053289,0.14634143379417475,0.14634143379417475
Men,25-34,NH White,2,0.5854618073132515,0.4145381926867486,0.3432243699933137,0.3432243699933137
Women,25-34,NH White,14,0.2664475118261005,0.7335524881738995,0.08854374227956621,0.08854374227956621
Men,35-44,NH White,7,0.4259220331169867,0.5740779668830133,0.21986225888420247,0.21986225888420247
Women,35-44,NH White,15,0,1,0,0
Men,45-54,NH White,3,0,1,0,0
Women,45-54,NH White,12,0.2830541185333462,0.7169458814666538,0.16302249329567822,0.16302249329567822
Men,55-64,NH White,8,0.03409562036937939,0.9659043796306206,0.03138698466049169,0.03138698466049169
Women,55-64,NH White,7,0.12799115661973998,0.8720088433802601,0.130158079990797,0.130158079990797
Men,65 and over,NH White,5,0.24040939419378085,0.7595906058062192,0.18066428874317256,0.18066428874317256
Women,65 and over,NH White,7,0.6063071655610048,0.3936928344389952,0.23250519880780052,0.23250519880780054
Men,Under 18,Other,25,0.4478639681752183,0.5521360318247818,0.12764836571630503,0.12764836571630503
Women,Under 18,Other,20,0.48368692549718817,0.5163130745028117,0.11320653676478735,0.11320653676478735
Men,18-24,Other,5,0.06293890506261769,0.9370610949373823,0.07154004413797506,0.07154004413797506
Women,18-24,Other,5,0.6283422373941031,0.37165776260589695,0.25293988091226816,0.25293988091226816
Men,25-34,Other,1,1,0,0,0
Women,25-34,Other,6,0.7355986124113855,0.26440138758861453,0.16419014911245658,0.16419014911245658
Men,35-44,Other,2,0.39443855638394254,0.6055614436160576,0.3377945000341882,0.3377945000341882
Women,35-44,Other,3,0,1,0,0
Men,45-54,Other,4,0.2980830910201177,0.7019169089798825,0.2461698034600228,0.24616980346002282
Women,45-54,Other,2,0,1,0,0
Men,55-64,Other,1,0,1,0,0
Women,55-64,Other,5,0.6461831234348677,0.3538168765651323,0.26173781748403013,0.26173781748403013
Men,65 and over,Other,4,0.4571818429559513,0.5428181570440488,0.24893940336071577,0.24893940336071577
Women,65 and over,Other,2,0,1,0,0
