Gender,Age.Group,Race,counts,ckdFALSE,ckdTRUE,se.ckdFALSE,se.ckdTRUE
Men,18-24,NH Black,18,1,0,0,0
Women,18-24,NH Black,35,1,0,0,0
Men,25-34,NH Black,24,0.8307322335338081,0.1692677664661918,0.11384597113844164,0.11384597113844165
Women,25-34,NH Black,90,0.9910992681779578,0.008900731822042192,0.008970149176595096,0.008970149176595095
Men,35-44,NH Black,26,1,0,0,0
Women,35-44,NH Black,52,0.9614748605814882,0.03852513941851168,0.019434502593980017,0.01943450259398002
Men,45-54,NH Black,31,0.8910767911268863,0.10892320887311371,0.051641616712881235,0.051641616712881235
Women,45-54,NH Black,45,0.8786999479997227,0.1213000520002773,0.059654525193920976,0.05965452519392098
Men,55-64,NH Black,54,0.989028791588672,0.010971208411327942,0.009889125825716745,0.009889125825716752
Women,55-64,NH Black,57,0.9526888540191754,0.04731114598082459,0.030111192757646718,0.030111192757646725
Men,65 and over,NH Black,42,0.8671048932640285,0.13289510673597152,0.05972516770005403,0.05972516770005403
Women,65 and over,NH Black,57,0.8515449906688262,0.1484550093311738,0.041241384315952964,0.041241384315952964
Men,18-24,Hispanic,12,0.9641497344897159,0.03585026551028411,0.036937591590629315,0.03693759159062931
Women,18-24,Hispanic,26,1,0,0,0
Men,25-34,Hispanic,17,0.9721701727725347,0.02782982722746524,0.028492509758030783,0.02849250975803078
Women,25-34,Hispanic,34,0.9434203699703823,0.05657963002961772,0.0450824349073425,0.04508243490734249
Men,35-44,Hispanic,16,1,0,0,0
Women,35-44,Hispanic,37,0.9824508605714912,0.017549139428508748,0.017533852698390515,0.01753385269839051
Men,45-54,Hispanic,14,0.8802350793208303,0.11976492067916963,0.031673750314612045,0.03167375031461204
Women,45-54,Hispanic,30,0.9533646722556891,0.04663532774431086,0.03166829744617626,0.031668297446176254
Men,55-64,Hispanic,32,1,0,0,0
Women,55-64,Hispanic,44,0.9688552055053888,0.031144794494611168,0.02436782709010971,0.02436782709010971
Men,65 and over,Hispanic,31,0.9259023996845044,0.07409760031549559,0.05075229052772832,0.05075229052772832
Women,65 and over,Hispanic,50,0.9337883697075963,0.06621163029240368,0.03666357468749835,0.03666357468749835
Men,18-24,NH White,14,1,0,0,0
Women,18-24,NH White,19,0.9654652809144414,0.03453471908555864,0.03496666212627005,0.03496666212627005
Men,25-34,NH White,24,0.8027618486054349,0.19723815139456508,0.16329559684265066,0.16329559684265066
Women,25-34,NH White,50,0.9785092728424383,0.021490727157561798,0.020862557558815272,0.020862557558815272
Men,35-44,NH White,30,0.9923926978380002,0.007607302161999788,0.007526862462652108,0.007526862462652108
Women,35-44,NH White,46,0.9395588606520401,0.06044113934795989,0.03233134225138731,0.03233134225138731
Men,45-54,NH White,23,0.9675614675448563,0.0324385324551436,0.03309937164774382,0.033099371647743805
Women,45-54,NH White,35,0.9821170635913263,0.01788293640867373,0.014418468469108405,0.014418468469108412
Men,55-64,NH White,33,0.9713302840128771,0.028669715987122774,0.019779306200018755,0.019779306200018755
Women,55-64,NH White,31,0.9439826538175875,0.05601734618241248,0.028437644431952402,0.028437644431952402
Men,65 and over,NH White,35,0.8318769860336513,0.16812301396634866,0.06805907926995435,0.06805907926995435
Women,65 and over,NH White,30,0.8287070427051814,0.17129295729481867,0.07677317795170716,0.07677317795170716
Men,18-24,Other,13,1,0,0,0
Women,18-24,Other,9,1,0,0,0
Men,25-34,Other,19,0.8572428518677718,0.14275714813222817,0.13313054500701632,0.13313054500701632
Women,25-34,Other,27,1,0,0,0
Men,35-44,Other,22,1,0,0,0
Women,35-44,Other,18,0.9580853424800023,0.041914657519997706,0.042228371068915686,0.042228371068915686
Men,45-54,Other,19,1,0,0,0
Women,45-54,Other,18,0.9331414138380705,0.06685858616192959,0.05561601050337639,0.05561601050337641
Men,55-64,Other,16,0.9999999999999999,0,3.395363209350111e-17,0
Women,55-64,Other,26,0.9765097707650225,0.023490229234977494,0.02455497417421448,0.02455497417421448
Men,65 and over,Other,20,1,0,0,0
Women,65 and over,Other,22,0.942098661846961,0.05790133815303909,0.05653015230526439,0.05653015230526439
