Gender,Age.Group,Race,counts,depFALSE,depTRUE,se.depFALSE,se.depTRUE
Men,Under 18,NH Black,503,1,0,0,0
Women,Under 18,NH Black,464,1,0,0,0
Men,18-24,NH Black,35,0.7540098425143029,0.24599015748569703,0.09354482018892953,0.09354482018892953
Women,18-24,NH Black,58,0.7580614823410057,0.24193851765899427,0.06326477636216557,0.06326477636216557
Men,25-34,NH Black,24,0.7397065387978231,0.26029346120217683,0.10898880807283003,0.10898880807283003
Women,25-34,NH Black,90,0.8221857244941038,0.1778142755058962,0.053384918171522175,0.053384918171522175
Men,35-44,NH Black,26,0.7699270945582164,0.23007290544178358,0.09430415639281146,0.09430415639281145
Women,35-44,NH Black,52,0.6740043826829656,0.3259956173170343,0.060774983195136176,0.060774983195136176
Men,45-54,NH Black,31,0.5879400170441946,0.4120599829558054,0.10740158163705849,0.1074015816370585
Women,45-54,NH Black,45,0.6440033108130853,0.35599668918691474,0.09126366116185776,0.09126366116185776
Men,55-64,NH Black,54,0.7869873492556979,0.21301265074430203,0.05222421875534491,0.052224218755344914
Women,55-64,NH Black,57,0.6235384185761298,0.3764615814238701,0.09032441592973792,0.09032441592973792
Men,65 and over,NH Black,42,0.7535255772024566,0.24647442279754336,0.0810891577343668,0.0810891577343668
Women,65 and over,NH Black,57,0.6272022819989111,0.3727977180010888,0.07642336043740637,0.07642336043740636
Men,Under 18,Hispanic,367,1,0,0,0
Women,Under 18,Hispanic,349,1,0,0,0
Men,18-24,Hispanic,28,0.78832789282478,0.21167210717522006,0.09930825455319423,0.09930825455319423
Women,18-24,Hispanic,40,0.6234377836134718,0.37656221638652815,0.07660470031182567,0.07660470031182567
Men,25-34,Hispanic,17,0.7079919153526555,0.2920080846473444,0.12695321203132345,0.12695321203132345
Women,25-34,Hispanic,34,0.8652280260724986,0.13477197392750132,0.04672663752273346,0.04672663752273346
Men,35-44,Hispanic,16,0.5494147993116498,0.45058520068835034,0.11706809940204872,0.11706809940204871
Women,35-44,Hispanic,37,0.695718459144662,0.30428154085533793,0.08425288271628181,0.08425288271628181
Men,45-54,Hispanic,14,0.4721555974297473,0.5278444025702527,0.11939222257010114,0.11939222257010114
Women,45-54,Hispanic,30,0.5330240355108515,0.46697596448914847,0.0847654989000216,0.0847654989000216
Men,55-64,Hispanic,32,0.769298771582075,0.23070122841792495,0.07305659319717156,0.07305659319717156
Women,55-64,Hispanic,44,0.6459260829388852,0.35407391706111474,0.08068477794183038,0.08068477794183038
Men,65 and over,Hispanic,31,0.7452079646999884,0.25479203530001154,0.06725004136921524,0.06725004136921525
Women,65 and over,Hispanic,50,0.6362242033055607,0.3637757966944392,0.06533399303472909,0.06533399303472907
Men,Under 18,NH White,288,1,0,0,0
Women,Under 18,NH White,297,1,0,0,0
Men,18-24,NH White,26,0.7336887994867239,0.2663112005132759,0.08428276936018864,0.08428276936018865
Women,18-24,NH White,31,0.6966519918010817,0.30334800819891833,0.1122186958917393,0.1122186958917393
Men,25-34,NH White,24,0.7145750564779729,0.285424943522027,0.097338067903432815,0.0973380679034328
Women,25-34,NH White,50,0.6004115147391892,0.3995884852608108,0.05657983064128438,0.05657983064128438
Men,35-44,NH White,30,0.8421211404718026,0.15787885952819736,0.04650374599716683,0.04650374599716683
Women,35-44,NH White,46,0.5825507412355524,0.4174492587644476,0.08775928624054369,0.08775928624054369
Men,45-54,NH White,23,0.671135888762528,0.32886411123747183,0.13928789756873944,0.13928789756873944
Women,45-54,NH White,35,0.40582676747159385,0.5941732325284061,0.10964597663511463,0.10964597663511463
Men,55-64,NH White,33,0.4195398584576537,0.5804601415423463,0.16488256767021717,0.16488256767021717
Women,55-64,NH White,31,0.44837052966464386,0.5516294703353561,0.12481718551990455,0.12481718551990455
Men,65 and over,NH White,35,0.8115722507537374,0.18842774924626263,0.05888865484094557,0.05888865484094557
Women,65 and over,NH White,30,0.6527750140870541,0.3472249859129459,0.1094617082223206,0.1094617082223206
Men,Under 18,Other,180,0.9999999999999999,0,1.562632868940354e-17,0
Women,Under 18,Other,148,1,0,0,0
Men,18-24,Other,21,0.6658881595872447,0.3341118404127552,0.08411432418973273,0.08411432418973275
Women,18-24,Other,17,0.8471746211865723,0.1528253788134277,0.06772127502521412,0.06772127502521412
Men,25-34,Other,19,0.5839140579435287,0.4160859420564713,0.1319205971498445,0.1319205971498445
Women,25-34,Other,27,0.636662967518884,0.36333703248111604,0.14879958846053232,0.14879958846053232
Men,35-44,Other,22,0.8759020156056485,0.1240979843943514,0.0528898244260441,0.0528898244260441
Women,35-44,Other,18,0.6764222501131776,0.3235777498868224,0.14838681995535458,0.14838681995535458
Men,45-54,Other,19,0.7851871488777303,0.2148128511222697,0.09707881821641645,0.09707881821641645
Women,45-54,Other,18,0.4295342907756289,0.5704657092243711,0.11243762773317674,0.11243762773317674
Men,55-64,Other,16,0.7028328541526004,0.2971671458473994,0.12481545871716299,0.12481545871716299
Women,55-64,Other,26,0.5227431908011364,0.4772568091988637,0.13686723830666225,0.13686723830666223
Men,65 and over,Other,20,0.8689060342381629,0.13109396576183702,0.07720928362591238,0.07720928362591238
Women,65 and over,Other,22,0.7459934681298935,0.2540065318701066,0.09286257749188846,0.09286257749188846
