Gender,Age.Group,Race,counts,htnFALSE,htnTRUE,se.htnFALSE,se.htnTRUE
Men,Under 18,NH Black,36,0.8701467023331908,0.12985329766680914,0.08250816849389547,0.08250816849389547
Women,Under 18,NH Black,34,0.9295440646078232,0.07045593539217684,0.03981285415450825,0.03981285415450824
Men,18-24,NH Black,35,1,0,0,0
Women,18-24,NH Black,58,0.9347219786753083,0.0652780213246917,0.03138202067836742,0.03138202067836742
Men,25-34,NH Black,24,0.7512075435090508,0.24879245649094914,0.1181393938246297,0.1181393938246297
Women,25-34,NH Black,90,0.8243622178830697,0.1756377821169302,0.04325852647623695,0.043258526476236944
Men,35-44,NH Black,26,0.4543099280788996,0.5456900719211003,0.10160183796552358,0.10160183796552359
Women,35-44,NH Black,52,0.7016950747196227,0.2983049252803773,0.054680828952436526,0.05468082895243653
Men,45-54,NH Black,31,0.6157816976530359,0.384218302346964,0.09318870009296905,0.09318870009296905
Women,45-54,NH Black,45,0.27181397289605935,0.7281860271039406,0.0861110228166782,0.0861110228166782
Men,55-64,NH Black,54,0.4145543370190664,0.5854456629809336,0.07970460056852259,0.07970460056852259
Women,55-64,NH Black,57,0.18248049614321762,0.8175195038567823,0.0547032991527058,0.05470329915270579
Men,65 and over,NH Black,42,0.3390012139208316,0.6609987860791684,0.06548111371450556,0.06548111371450556
Women,65 and over,NH Black,57,0.060910077417094206,0.9390899225829058,0.03079791337928319,0.03079791337928319
Men,Under 18,Hispanic,19,0.9568141620949333,0.043185837905066644,0.0435852812156238,0.0435852812156238
Women,Under 18,Hispanic,24,1,0,0,0
Men,18-24,Hispanic,28,0.8755721245592037,0.12442787544079632,0.07573936149664379,0.07573936149664379
Women,18-24,Hispanic,40,0.9654876065393676,0.0345123934606323,0.026122832045755797,0.026122832045755797
Men,25-34,Hispanic,17,0.9316909089714984,0.06830909102850158,0.05087968934885208,0.05087968934885208
Women,25-34,Hispanic,34,0.893743778929617,0.10625622107038293,0.06142790733882052,0.06142790733882051
Men,35-44,Hispanic,16,0.4981642319287898,0.5018357680712103,0.13030256647509786,0.13030256647509786
Women,35-44,Hispanic,37,0.7846946915529306,0.21530530844706944,0.08017885860085268,0.08017885860085268
Men,45-54,Hispanic,14,0.7039283064059108,0.29607169359408925,0.17758018514530396,0.17758018514530396
Women,45-54,Hispanic,30,0.6153136161917967,0.3846863838082033,0.09391926809739168,0.09391926809739168
Men,55-64,Hispanic,32,0.4355798795472555,0.5644201204527444,0.10154804854819174,0.10154804854819176
Women,55-64,Hispanic,44,0.2893904728204502,0.7106095271795498,0.07965760300960857,0.07965760300960857
Men,65 and over,Hispanic,31,0.4556790268036485,0.5443209731963514,0.08329735071596912,0.08329735071596914
Women,65 and over,Hispanic,50,0.2530669559868247,0.7469330440131752,0.05163489516138797,0.05163489516138797
Men,Under 18,NH White,20,0.9250205703078099,0.07497942969219014,0.07347743078577768,0.07347743078577768
Women,Under 18,NH White,21,0.9547400685373254,0.045259931462674576,0.048657537069643174,0.04865753706964316
Men,18-24,NH White,26,0.8469722707340697,0.1530277292659302,0.08305934133964617,0.08305934133964615
Women,18-24,NH White,31,0.9766859822897724,0.02331401771022763,0.023267071559353165,0.023267071559353165
Men,25-34,NH White,24,0.7559480062388074,0.24405199376119255,0.11982339519480358,0.11982339519480356
Women,25-34,NH White,50,0.7711649163799027,0.22883508362009738,0.061840768902694895,0.06184076890269489
Men,35-44,NH White,30,0.4737446875987957,0.5262553124012044,0.08727364301325241,0.08727364301325241
Women,35-44,NH White,46,0.7352525561142447,0.2647474438857553,0.06881676042089972,0.06881676042089972
Men,45-54,NH White,23,0.4732951495422183,0.5267048504577816,0.15591332136230865,0.15591332136230865
Women,45-54,NH White,35,0.5794300348158411,0.4205699651841589,0.14611639396334297,0.14611639396334297
Men,55-64,NH White,33,0.4604633719252374,0.5395366280747625,0.17962089806624906,0.17962089806624906
Women,55-64,NH White,31,0.46351258776933113,0.5364874122306689,0.11116052268594454,0.11116052268594454
Men,65 and over,NH White,35,0.36473284690749747,0.6352671530925026,0.1254936996040347,0.1254936996040347
Women,65 and over,NH White,30,0.3882835620011951,0.6117164379988049,0.0608620410272359,0.0608620410272359
Men,Under 18,Other,15,0.9340001704074132,0.06599982959258674,0.06698846054172684,0.06698846054172684
Women,Under 18,Other,8,1,0,0,0
Men,18-24,Other,21,0.9999999999999999,0,4.202105423148573e-17,0
Women,18-24,Other,17,1,0,0,0
Men,25-34,Other,19,0.6421141082222778,0.35788589177772223,0.16279688023842356,0.16279688023842356
Women,25-34,Other,27,0.733374592376339,0.266625407623661,0.14213205462875586,0.14213205462875586
Men,35-44,Other,22,0.692436802490313,0.30756319750968697,0.13733542694924436,0.13733542694924436
Women,35-44,Other,18,0.6014669207016379,0.3985330792983621,0.12539111446698636,0.12539111446698636
Men,45-54,Other,19,0.7087409082112466,0.2912590917887535,0.0913337976473468,0.0913337976473468
Women,45-54,Other,18,0.38448739482209543,0.6155126051779046,0.19502900111178312,0.19502900111178303
Men,55-64,Other,16,0.531996705419779,0.46800329458022094,0.12079845502050299,0.120798455020503
Women,55-64,Other,26,0.4224047469634376,0.5775952530365625,0.12721240588383143,0.12721240588383143
Men,65 and over,Other,20,0.5851422264108563,0.41485777358914366,0.0906551287375882,0.0906551287375882
Women,65 and over,Other,22,0.28615668070534067,0.7138433192946594,0.0957116333508722,0.09571163335087218
